"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,2.668549471e-14,1.549387212e-13,1.733319466e-13,4.942800853e-14,1.103908735e-14,4.788231886e-14,4.106253479e-14,2.095082638e-14,4.889486661e-15,1.741653349e-14,1.264141374e-14,8.812267413e-15,8.344477189e-15,4.158118636e-14,8.640575018e-14,5.857230313e-14,5.104487128e-14,2.020884567e-14,2.080596548e-14,1.897090621e-13,5.199051714e-15,1.451097686e-14,3.640272662e-14,1.652547105e-14,2.817575669e-14,2.292548579e-14,2.660254901e-14,7.345128891e-14,1.401902737e-14,9.104659591e-15,2.894841131e-14,2.313236929e-14
0.015625,3.225179543e-14,1.719783697e-13,1.81179787e-13,5.286790046e-14,1.168617162e-14,5.210286721e-14,4.278757098e-14,2.168223551e-14,5.034231474e-15,1.82776204e-14,1.475913363e-14,9.877215628e-15,8.953587379e-15,4.573990656e-14,9.483024504e-14,6.299586637e-14,5.362486105e-14,2.262196651e-14,2.290807736e-14,2.001690099e-13,5.308971825e-15,1.536090706e-14,3.759061239e-14,1.872094551e-14,3.015729574e-14,2.468394816e-14,2.831710883e-14,8.14528758e-14,1.524745034e-14,9.451485318e-15,3.076694143e-14,2.401101297e-14
0.0234375,3.854538889e-14,1.906580556e-13,1.88581685e-13,5.613473964e-14,1.229802595e-14,5.632963107e-14,4.43731417e-14,2.24365429e-14,5.246562373e-15,1.901930167e-14,1.723866775e-14,1.111461788e-14,9.638884454e-15,5.02107198e-14,1.036057475e-13,6.760421905e-14,5.65571103e-14,2.524372459e-14,2.525634512e-14,2.096682e-13,5.391582228e-15,1.635743722e-14,3.856116259e-14,2.109766885e-14,3.214880727e-14,2.656549479e-14,3.001443609e-14,8.98267751e-14,1.654835221e-14,9.80737255e-15,3.273910222e-14,2.485692787e-14
0.03125,4.581814946e-14,2.115429044e-13,1.956721345e-13,5.927263411e-14,1.2904584e-14,6.050703098e-14,4.581615933e-14,2.32967627e-14,5.610087106e-15,1.967265527e-14,2.017596439e-14,1.268004782e-14,1.051698048e-14,5.523324339e-14,1.126929281e-13,7.215845962e-14,5.994740647e-14,2.810648207e-14,2.794855482e-14,2.17816422e-13,5.456494439e-15,1.758227006e-14,3.927305956e-14,2.376010838e-14,3.412844066e-14,2.855976871e-14,3.177069963e-14,9.874736678e-14,1.793734205e-14,1.016546143e-14,3.499673481e-14,2.572934124e-14
0.0390625,5.416222115e-14,2.34851411e-13,2.02512641e-13,6.229622313e-14,1.35179661e-14,6.469055895e-14,4.70617198e-14,2.424809196e-14,6.106292929e-15,2.028733799e-14,2.37369556e-14,1.462444881e-14,1.160512677e-14,6.089436633e-14,1.222638456e-13,7.646308835e-14,6.345699073e-14,3.119912591e-14,3.10606745e-14,2.247006314e-13,5.53058856e-15,1.912297997e-14,3.965458493e-14,2.676038517e-14,3.60976553e-14,3.064855382e-14,3.364641807e-14,1.083101927e-13,1.948944244e-14,1.054334782e-14,3.757196217e-14,2.665373427e-14
0.046875,6.331334823e-14,2.602327709e-13,2.089667397e-13,6.510209258e-14,1.410984236e-14,6.889325984e-14,4.814406514e-14,2.51869869e-14,6.676547499e-15,2.085377069e-14,2.80224718e-14,1.688961458e-14,1.285711571e-14,6.726028161e-14,1.327059954e-13,8.079981942e-14,6.699897274e-14,3.443746846e-14,3.448264235e-14,2.302992008e-13,5.596993226e-15,2.096072373e-14,3.969093334e-14,3.004620612e-14,3.798125316e-14,3.280413809e-14,3.563730121e-14,1.182698921e-13,2.120924581e-14,1.091474779e-14,4.039360432e-14,2.753162409e-14
0.0546875,7.312332223e-14,2.876257102e-13,2.15570772e-13,6.771448133e-14,1.474736672e-14,7.30942869e-14,4.931222701e-14,2.612676102e-14,7.358882742e-15,2.134539914e-14,3.299074569e-14,1.954418917e-14,1.430311594e-14,7.456207614e-14,1.441247041e-13,8.547017724e-14,7.051262101e-14,3.775361952e-14,3.806770532e-14,2.338919534e-13,5.652134884e-15,2.312637856e-14,3.947979587e-14,3.370603186e-14,3.968071829e-14,3.504459358e-14,3.771912606e-14,1.285485082e-13,2.299511806e-14,1.128343245e-14,4.343583611e-14,2.834462264e-14
0.0625,8.374845612e-14,3.171148507e-13,2.226968485e-13,7.031641326e-14,1.552652612e-14,7.747189134e-14,5.056833748e-14,2.718385819e-14,8.203548902e-15,2.184732141e-14,3.871922365e-14,2.266255855e-14,1.599576596e-14,8.28469779e-14,1.564881665e-13,9.031844043e-14,7.370826084e-14,4.137422253e-14,4.199435302e-14,2.354841463e-13,5.731921266e-15,2.567749801e-14,3.905795401e-14,3.780019901e-14,4.127733669e-14,3.740152233e-14,3.980860609e-14,1.393624078e-13,2.488423204e-14,1.172238301e-14,4.677943273e-14,2.912676788e-14
0.0703125,9.538656656e-14,3.487571189e-13,2.306584565e-13,7.296888606e-14,1.639728675e-14,8.220885201e-14,5.181107785e-14,2.839959042e-14,9.201313852e-15,2.236683964e-14,4.5388712e-14,2.631802551e-14,1.797227666e-14,9.232777701e-14,1.700935574e-13,9.568728421e-14,7.700317945e-14,4.565828005e-14,4.643858937e-14,2.359002313e-13,5.82488034e-15,2.864581039e-14,3.840811376e-14,4.213425034e-14,4.289994188e-14,3.983959887e-14,4.217004028e-14,1.507674697e-13,2.699571709e-14,1.227125469e-14,5.048138132e-14,2.982929781e-14
0.078125,1.078548357e-13,3.820232393e-13,2.397521782e-13,7.543054072e-14,1.726801135e-14,8.729584482e-14,5.310130575e-14,2.964852189e-14,1.033454462e-14,2.286164769e-14,5.314786294e-14,3.065200878e-14,2.030094598e-14,1.031979428e-13,1.850459131e-13,1.022402309e-13,8.101400239e-14,5.069246951e-14,5.12761755e-14,2.350309168e-13,5.900904023e-15,3.199921342e-14,3.750765084e-14,4.656518809e-14,4.448314165e-14,4.239566253e-14,4.516763178e-14,1.627297974e-13,2.937714844e-14,1.296898534e-14,5.449936885e-14,3.044413858e-14
