"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,5.409751623e-15,5.539759396e-15,6.489572391e-14,6.464610618e-15,4.926412312e-14,4.439564286e-15,2.181880202e-14,4.202284836e-14,1.214727132e-14,3.207926968e-15,2.186235596e-15,2.046122381e-15,1.819196485e-15,4.040414632e-15,1.468231511e-14,3.16128081e-15,1.192869749e-14,1.040476383e-14,1.425488078e-14,1.226591727e-14,1.872227231e-14,1.031743504e-14,6.575047485e-15,5.657163858e-14,7.619229512e-15,8.077031275e-15,9.24816644e-16,3.718388413e-14,7.432130865e-15,1.10048252e-14,1.674828399e-14,4.870831974e-14
0.015625,5.418430925e-15,5.953760616e-15,6.198100777e-14,7.725813905e-15,5.468444148e-14,5.346879537e-15,2.100543921e-14,4.334686355e-14,1.104845412e-14,3.627054853e-15,2.013825109e-15,1.984231263e-15,2.58291258e-15,3.509464566e-15,1.741118598e-14,3.500693606e-15,1.167683976e-14,1.322268388e-14,1.631121167e-14,1.257419245e-14,1.902534007e-14,1.01407194e-14,6.504885609e-15,6.246090988e-14,9.858661625e-15,8.347570578e-15,9.737781677e-16,4.332711856e-14,8.470166487e-15,1.137346251e-14,1.910065372e-14,4.803240437e-14
0.0234375,5.773074942e-15,6.366907516e-15,5.450221466e-14,8.500151095e-15,5.663369051e-14,5.960786479e-15,1.849250696e-14,4.141424641e-14,9.194864235e-15,4.039152151e-15,1.674254953e-15,2.223275007e-15,3.277998392e-15,3.024036922e-15,1.954027604e-14,3.685104291e-15,1.101536108e-14,1.584412284e-14,1.772302561e-14,1.263288389e-14,1.7836087e-14,9.311009722e-15,5.972698403e-15,6.453557283e-14,1.259294469e-14,8.383338037e-15,9.459666002e-16,4.734514954e-14,9.025912893e-15,1.111017832e-14,2.029563598e-14,4.34290622e-14
0.03125,6.70616386e-15,7.292104808e-15,4.388891758e-14,8.983455681e-15,5.532552091e-14,6.532712346e-15,1.475977829e-14,3.668708707e-14,6.916122704e-15,4.706656937e-15,1.240880508e-15,3.057686532e-15,3.989317153e-15,3.019027733e-15,2.136499343e-14,3.856450581e-15,1.075368417e-14,1.823969722e-14,1.851852745e-14,1.294344102e-14,1.544216584e-14,7.94413982e-15,5.162209955e-15,6.239846963e-14,1.542479237e-14,8.637768649e-15,8.60570694e-16,4.876042233e-14,9.124166527e-15,1.038509696e-14,2.033165149e-14,3.60732509e-14
0.0390625,8.753915033e-15,9.054559501e-15,3.28949996e-14,8.801748259e-15,5.102490509e-14,6.807345093e-15,1.106858662e-14,3.028812576e-14,4.764317394e-15,5.92615833e-15,9.252123876e-16,4.603432508e-15,4.373785841e-15,3.859482822e-15,2.333412544e-14,4.392209552e-15,1.099643618e-14,1.998967952e-14,1.870735225e-14,1.384277685e-14,1.263667799e-14,6.391020092e-15,4.24290577e-15,5.759167492e-14,1.765294846e-14,9.44293105e-15,7.724912102e-16,4.745241502e-14,8.918659408e-15,9.613466271e-15,1.917415073e-14,2.784145278e-14
0.046875,1.146909804e-14,1.178763776e-14,2.312087072e-14,7.882496007e-15,4.436047753e-14,6.804381496e-15,7.985038345e-15,2.326526999e-14,3.159987803e-15,7.978821758e-15,8.15520478e-16,6.792662021e-15,4.204172798e-15,5.613928161e-15,2.561325392e-14,5.538131846e-15,1.226970602e-14,2.07284865e-14,1.846574931e-14,1.571726672e-14,9.869541753e-15,4.938000665e-15,3.351119905e-15,5.080783593e-14,1.864811641e-14,1.088355977e-14,7.567170099e-16,4.363595082e-14,8.599416659e-15,8.950287558e-15,1.718263653e-14,2.004382744e-14
0.0546875,1.436853119e-14,1.549404042e-14,1.555101997e-14,6.599341645e-15,3.701426221e-14,6.728083367e-15,5.703680033e-15,1.681091666e-14,2.140581347e-15,1.106278089e-14,1.11998015e-15,9.206587385e-15,3.874210321e-15,8.184385307e-15,2.812781577e-14,7.306449843e-15,1.447723611e-14,2.052305763e-14,1.786981366e-14,1.814773987e-14,7.415983566e-15,3.73978067e-15,2.671991667e-15,4.31071986e-14,1.827438382e-14,1.27325282e-14,8.749797599e-16,3.809756879e-14,8.223067859e-15,8.381732088e-15,1.517096706e-14,1.363322729e-14
0.0625,1.691164123e-14,1.969795106e-14,1.087568755e-14,5.178255527e-15,3.006295804e-14,6.933192769e-15,4.34218619e-15,1.165360728e-14,1.681284643e-15,1.518405191e-14,1.932468633e-15,1.133087502e-14,3.621687946e-15,1.153005891e-14,3.12119443e-14,9.94516089e-15,1.731639268e-14,1.971730868e-14,1.708940076e-14,2.084229321e-14,5.465521595e-15,2.880139741e-15,2.256075999e-15,3.540599361e-14,1.685969773e-14,1.46088073e-14,1.294899599e-15,3.16293003e-14,7.862403532e-15,7.849681093e-15,1.361549033e-14,9.008197354e-15
0.0703125,1.882628653e-14,2.440228788e-14,9.499776249e-15,3.894987657e-15,2.390447208e-14,7.657997236e-15,3.753862766e-15,7.865697121e-15,1.635637814e-15,2.027603394e-14,3.455275101e-15,1.274532022e-14,3.632342594e-15,1.542726019e-14,3.515027002e-14,1.381640269e-14,2.070987258e-14,1.874154356e-14,1.623107589e-14,2.301826154e-14,3.988819494e-15,2.347247407e-15,2.281092054e-15,2.851587708e-14,1.501607882e-14,1.610314291e-14,2.296592608e-15,2.498629006e-14,7.456650612e-15,7.236339389e-15,1.284856928e-14,5.918005274e-15
0.078125,1.94202913e-14,3.031382171e-14,1.14100046e-14,2.952697975e-15,1.871317915e-14,8.98111117e-15,3.655998587e-15,5.498731517e-15,1.733948806e-15,2.59601821e-14,5.851482127e-15,1.330139202e-14,4.092956901e-15,1.97497607e-14,3.994979212e-14,1.903629229e-14,2.405027435e-14,1.755482732e-14,1.517049266e-14,2.383683595e-14,2.876244569e-15,2.06979816e-15,2.749143595e-15,2.286689912e-14,1.363366455e-14,1.685383525e-14,4.200028396e-15,1.948682049e-14,6.917753335e-15,6.448078145e-15,1.287033418e-14,4.172238985e-15
