"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,4.400695747e-14,9.611581964e-14,1.830686006e-13,1.763230712e-13,2.105118505e-13,4.598679063e-14,7.027621545e-14,5.550193664e-14,4.316668763e-14,1.20840832e-14,1.846272377e-13,1.025802915e-13,1.903689417e-13,1.279120342e-13,3.567261233e-14,6.264606455e-14,7.418939826e-14,6.149112549e-14,1.488823889e-14,1.576353748e-13,3.409072366e-14,4.28185416e-14,2.376058562e-14,2.018425855e-13,6.21577486e-14,4.541281915e-14,4.861579874e-14,1.39989747e-13,3.23980888e-14,3.621558996e-14,6.206601381e-14,1.056425272e-14
0.015625,4.78122087e-14,1.024999851e-13,1.894792268e-13,1.830095262e-13,2.200604014e-13,4.805136752e-14,7.643771574e-14,5.705491379e-14,4.794123447e-14,1.281387697e-14,1.944815291e-13,1.110838443e-13,2.049765195e-13,1.399789879e-13,3.901135722e-14,6.868154152e-14,7.964280353e-14,6.963357639e-14,1.608017496e-14,1.637021094e-13,3.636167992e-14,4.61544494e-14,2.458676049e-14,2.103321709e-13,6.597815907e-14,4.978266386e-14,5.016250085e-14,1.493921747e-13,3.471874319e-14,3.799682094e-14,6.694202856e-14,1.111471606e-14
0.0234375,5.19137629e-14,1.092546078e-13,1.962506398e-13,1.897150338e-13,2.297618485e-13,5.011214812e-14,8.296766508e-14,5.864825977e-14,5.312565611e-14,1.357866157e-14,2.045523829e-13,1.201855029e-13,2.205026982e-13,1.529049628e-13,4.262676507e-14,7.525455803e-14,8.531103446e-14,7.856850413e-14,1.735750935e-14,1.696990415e-13,3.871741861e-14,4.967805705e-14,2.535696478e-14,2.187820939e-13,7.006689718e-14,5.444641964e-14,5.172153926e-14,1.592348587e-13,3.717555406e-14,3.989364242e-14,7.216248425e-14,1.168184463e-14
0.03125,5.644954812e-14,1.16263681e-13,2.035295228e-13,1.964005538e-13,2.396598205e-13,5.224297967e-14,8.986407616e-14,6.027087579e-14,5.874921771e-14,1.435658023e-14,2.146574908e-13,1.300086099e-13,2.37020686e-13,1.668835844e-13,4.667012574e-14,8.25923037e-14,9.146347196e-14,8.849449285e-14,1.877394428e-14,1.755695423e-13,4.113234241e-14,5.350659314e-14,2.608436365e-14,2.273097288e-13,7.444839413e-14,5.944634868e-14,5.331511361e-14,1.695481861e-13,3.980648876e-14,4.192361461e-14,7.786585848e-14,1.22792767e-14
0.0390625,6.151755896e-14,1.234877027e-13,2.115682762e-13,2.031404116e-13,2.498569757e-13,5.437972301e-14,9.726795136e-14,6.192907981e-14,6.49478949e-14,1.513878777e-14,2.247202783e-13,1.406683379e-13,2.547505788e-13,1.821977851e-13,5.119479497e-14,9.088487225e-14,9.844074709e-14,9.959831888e-14,2.034963819e-14,1.81468119e-13,4.362855645e-14,5.775503369e-14,2.679871065e-14,2.359519681e-13,7.920304667e-14,6.485601003e-14,5.491774639e-14,1.802757267e-13,4.264754859e-14,4.413287875e-14,8.417474805e-14,1.292034596e-14
0.046875,6.70539142e-14,1.308261392e-13,2.204844578e-13,2.098640305e-13,2.602769069e-13,5.65010941e-14,1.051728619e-13,6.357561649e-14,7.177134546e-14,1.595013707e-14,2.348326996e-13,1.521880235e-13,2.738217352e-13,1.988495595e-13,5.617736467e-14,1.001350379e-13,1.061296934e-13,1.119019876e-13,2.20923206e-14,1.873536058e-13,4.622819223e-14,6.24506712e-14,2.744418814e-14,2.445914741e-13,8.438357962e-14,7.072396773e-14,5.653935134e-14,1.913125824e-13,4.577175324e-14,4.655682695e-14,9.111289392e-14,1.362027462e-14
0.0546875,7.305182484e-14,1.383735203e-13,2.303243877e-13,2.164490142e-13,2.706970313e-13,5.859798895e-14,1.134881329e-13,6.528186252e-14,7.918785594e-14,1.678819768e-14,2.450620525e-13,1.645580231e-13,2.941289624e-13,2.167696824e-13,6.168220754e-14,1.104511796e-13,1.145578333e-13,1.254757561e-13,2.405422943e-14,1.928895268e-13,4.887967102e-14,6.75200429e-14,2.798601779e-14,2.528622327e-13,9.000561721e-14,7.698315825e-14,5.819317821e-14,2.025137278e-13,4.916829479e-14,4.922539648e-14,9.872519029e-14,1.435878579e-14
0.0625,7.956408852e-14,1.462697793e-13,2.412316163e-13,2.231071458e-13,2.811904843e-13,6.069732368e-14,1.222029617e-13,6.719136062e-14,8.722962097e-14,1.765650314e-14,2.553774954e-13,1.778518078e-13,3.15642507e-13,2.361208044e-13,6.77896709e-14,1.218651195e-13,1.239014277e-13,1.403945972e-13,2.627522855e-14,1.979652479e-13,5.15172007e-14,7.297338162e-14,2.849936542e-14,2.606380072e-13,9.612762728e-14,8.355692535e-14,5.988804012e-14,2.139711815e-13,5.282392003e-14,5.215518126e-14,1.071268139e-13,1.510082728e-14
0.0703125,8.665882145e-14,1.544725865e-13,2.530966228e-13,2.299867106e-13,2.918961185e-13,6.283823601e-14,1.31302569e-13,6.926827005e-14,9.596743888e-14,1.857489353e-14,2.656959547e-13,1.92155227e-13,3.385319708e-13,2.570624093e-13,7.457508611e-14,1.343356102e-13,1.34303479e-13,1.567620382e-13,2.876826148e-14,2.027718931e-13,5.414926863e-14,7.885859248e-14,2.902437252e-14,2.680877959e-13,1.027434384e-13,9.048897747e-14,6.16023519e-14,2.257714329e-13,5.681326734e-14,5.532108079e-14,1.164078853e-13,1.585932046e-14
0.078125,9.448040695e-14,1.629901869e-13,2.658093901e-13,2.367986762e-13,3.026088837e-13,6.493598469e-14,1.407974048e-13,7.141602286e-14,1.054359365e-13,1.952130294e-14,2.7602718e-13,2.075000615e-13,3.629658246e-13,2.796205087e-13,8.207323192e-14,1.480649026e-13,1.460948204e-13,1.747569794e-13,3.158343984e-14,2.074659142e-13,5.6793499e-14,8.518146148e-14,2.954747793e-14,2.751097143e-13,1.09853629e-13,9.783141516e-14,6.33200106e-14,2.377758729e-13,6.109799475e-14,5.873673963e-14,1.26533457e-13,1.666446913e-14
