"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,1.760841493e-14,4.497670833e-14,2.109286553e-14,5.704519335e-14,1.903854806e-14,8.104039663e-15,2.380916094e-15,2.23909388e-14,4.704179448e-15,3.976349826e-15,1.013608659e-14,1.761840195e-15,3.083035315e-15,8.261508753e-15,1.918642015e-14,4.198903831e-14,4.042597444e-14,1.664798997e-14,3.888503742e-15,3.029428759e-14,9.29623303e-15,2.279778795e-15,1.20121649e-14,1.953826681e-14,3.082130079e-15,4.475493911e-15,2.4061015e-14,4.902386163e-15,8.952717432e-15,9.932202797e-15,5.585492983e-15,2.058407752e-15
0.015625,2.287862548e-14,4.823405281e-14,2.272390807e-14,6.702024576e-14,2.072338776e-14,1.038626915e-14,2.779732726e-15,2.660963307e-14,5.480568229e-15,4.505187134e-15,1.118610038e-14,2.218691607e-15,3.308880563e-15,1.060542285e-14,2.386851079e-14,4.802885786e-14,4.732791453e-14,2.047863243e-14,4.915967879e-15,3.533450278e-14,1.18586272e-14,3.063524717e-15,1.485801737e-14,2.287292428e-14,3.691070708e-15,5.550724523e-15,2.513824733e-14,6.117026598e-15,1.060823949e-14,1.092436828e-14,6.408832028e-15,2.082236397e-15
0.0234375,2.887369002e-14,4.984374817e-14,2.377017498e-14,7.807717375e-14,2.264771958e-14,1.331768005e-14,3.194079232e-15,3.025231893e-14,6.243425885e-15,5.058086302e-15,1.199461315e-14,2.815010765e-15,3.582053258e-15,1.382486094e-14,2.880059384e-14,5.279301566e-14,5.410656203e-14,2.496965734e-14,6.260876606e-15,3.977347194e-14,1.459760093e-14,4.099244011e-15,1.793753701e-14,2.609016822e-14,4.391481233e-15,6.913415526e-15,2.588651907e-14,7.606854172e-15,1.221849828e-14,1.1817219e-14,7.443408198e-15,2.165368438e-15
0.03125,3.562485574e-14,4.967695999e-14,2.446125289e-14,9.038514536e-14,2.497203474e-14,1.698166106e-14,3.61684328e-15,3.304308287e-14,7.018110394e-15,5.697854675e-15,1.258203766e-14,3.588544841e-15,3.884119839e-15,1.815675896e-14,3.362616941e-14,5.576734655e-14,6.01710346e-14,2.992524484e-14,7.95486135e-15,4.314978696e-14,1.741315941e-14,5.42267368e-15,2.118014506e-14,2.905445734e-14,5.153471396e-15,8.694830883e-15,2.641808526e-14,9.430635847e-15,1.392181561e-14,1.26898425e-14,8.786736094e-15,2.409464721e-15
0.0390625,4.318125367e-14,4.832165465e-14,2.513997534e-14,1.036360125e-13,2.806878685e-14,2.124982491e-14,4.05178105e-15,3.485726942e-14,7.960020704e-15,6.458114803e-15,1.291830587e-14,4.654066559e-15,4.28837835e-15,2.396716575e-14,3.834950931e-14,5.735822318e-14,6.573027458e-14,3.535198259e-14,1.007737309e-14,4.583076378e-14,2.013178923e-14,7.031533896e-15,2.439335874e-14,3.209835493e-14,5.974452261e-15,1.094597786e-14,2.731750005e-14,1.175812672e-14,1.580367817e-14,1.354907885e-14,1.065169366e-14,2.859965008e-15
0.046875,5.142382805e-14,4.616507067e-14,2.589360387e-14,1.172535391e-13,3.23646513e-14,2.598028121e-14,4.454038619e-15,3.548135337e-14,9.164707787e-15,7.288338144e-15,1.291011482e-14,6.157862353e-15,4.820355534e-15,3.153622339e-14,4.29365477e-14,5.795751508e-14,7.077975674e-14,4.122257527e-14,1.271633184e-14,4.78874802e-14,2.257747088e-14,8.947933648e-15,2.74927363e-14,3.523420643e-14,6.86224245e-15,1.39225543e-14,2.911307562e-14,1.465512287e-14,1.78832183e-14,1.444647602e-14,1.319125035e-14,3.615113755e-15
0.0546875,6.019190181e-14,4.39845849e-14,2.691439912e-14,1.298466078e-13,3.809269964e-14,3.070954067e-14,4.808035789e-15,3.477344572e-14,1.073336589e-14,8.157321624e-15,1.253792467e-14,8.224140432e-15,5.489956916e-15,4.121931718e-14,4.73594113e-14,5.793424491e-14,7.538300406e-14,4.736559701e-14,1.592266508e-14,4.940325989e-14,2.450481011e-14,1.115565055e-14,3.0414637e-14,3.834027468e-14,7.829477676e-15,1.763454548e-14,3.24706789e-14,1.826688307e-14,2.018671735e-14,1.535269517e-14,1.670973397e-14,4.697018689e-15
0.0625,6.904299247e-14,4.232644193e-14,2.869635608e-14,1.409082811e-13,4.55854097e-14,3.529837038e-14,5.155655785e-15,3.28803295e-14,1.280439749e-14,9.18009522e-15,1.196565302e-14,1.108726101e-14,6.386285316e-15,5.332236538e-14,5.187326756e-14,5.775381776e-14,7.93900555e-14,5.333776803e-14,1.975889857e-14,5.080701428e-14,2.586955709e-14,1.36524603e-14,3.303425078e-14,4.136517081e-14,8.807306124e-15,2.214361332e-14,3.795493591e-14,2.28082774e-14,2.285171221e-14,1.643397982e-14,2.148022016e-14,6.134970454e-15
0.0703125,7.784609888e-14,4.213555323e-14,3.159355994e-14,1.498217221e-13,5.487306235e-14,3.926439808e-14,5.513060259e-15,3.020459045e-14,1.544398025e-14,1.044947436e-14,1.134069172e-14,1.492943352e-14,7.582787741e-15,6.794207483e-14,5.72463559e-14,5.850490324e-14,8.3089664e-14,5.895086478e-14,2.428661324e-14,5.291144838e-14,2.675699678e-14,1.636311922e-14,3.523232738e-14,4.42940687e-14,9.768870635e-15,2.727355715e-14,4.597720206e-14,2.84129204e-14,2.611064379e-14,1.767748157e-14,2.778662806e-14,7.886527581e-15
0.078125,8.638866989e-14,4.37471424e-14,3.596543805e-14,1.564612016e-13,6.572791144e-14,4.262830204e-14,5.901642805e-15,2.719849025e-14,1.868879567e-14,1.203661142e-14,1.084058353e-14,1.983420374e-14,9.152163514e-15,8.482851401e-14,6.447408316e-14,6.151369809e-14,8.695288951e-14,6.4289677e-14,2.952130637e-14,5.61649263e-14,2.723576101e-14,1.925985748e-14,3.694408571e-14,4.699828485e-14,1.071832368e-14,3.298309445e-14,5.689514572e-14,3.509528912e-14,2.999425269e-14,1.914560989e-14,3.576771709e-14,9.887905697e-15
0.0859375,9.456619089e-14,4.724819807e-14,4.178153201e-14,1.604601004e-13,7.791076386e-14,4.524103453e-14,6.326479437e-15,2.418653742e-14,2.255780919e-14,1.396122935e-14,1.053335632e-14,2.581891953e-14,1.123405252e-14,1.03390329e-13,7.383189137e-14,6.718772342e-14,9.136191817e-14,6.944198932e-14,3.538707278e-14,6.071723795e-14,2.746314016e-14,2.227842237e-14,3.815820423e-14,4.948720487e-14,1.171307736e-14,3.91185355e-14,7.02755413e-14,4.279160654e-14,3.441269902e-14,2.069148635e-14,4.554283256e-14,1.206023588e-14
