"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,1.825533711e-13,1.583657528e-14,5.668332953e-13,1.246953411e-13,6.453297515e-14,7.024332869e-14,7.647448888e-14,1.562388329e-13,7.312409429e-14,8.909178966e-14,3.283321126e-13,1.24252963e-13,4.615702926e-14,1.09231764e-13,2.031760862e-13,4.640558416e-13,2.34902607e-13,1.811066052e-13,7.715523301e-14,3.012308473e-13,9.912185657e-14,4.571787413e-14,2.835415862e-14,3.380931664e-13,5.326502377e-14,3.52289907e-14,7.738885077e-14,8.648811961e-14,7.650326683e-13,4.570011472e-14,2.898022625e-13,1.179620557e-14
0.015625,1.861458754e-13,1.643432883e-14,5.7132318e-13,1.257959271e-13,6.570010957e-14,7.190689393e-14,7.733911518e-14,1.576058102e-13,7.388392749e-14,9.077839174e-14,3.319477298e-13,1.254188684e-13,4.736145843e-14,1.108170339e-13,2.102008653e-13,4.77904902e-13,2.417503654e-13,1.875586345e-13,7.853257359e-14,3.073698706e-13,1.003261192e-13,4.609291544e-14,2.88213401e-14,3.422419877e-13,5.49253583e-14,3.654466597e-14,7.914401525e-14,8.780994495e-14,7.713574975e-13,4.620157189e-14,2.921379125e-13,1.2163687e-14
0.0234375,1.898152844e-13,1.706749974e-14,5.755606298e-13,1.267938984e-13,6.691799562e-14,7.365228189e-14,7.815166034e-14,1.58941971e-13,7.465224325e-14,9.240823072e-14,3.353890352e-13,1.265712624e-13,4.860880066e-14,1.124672443e-13,2.173620103e-13,4.920303745e-13,2.488099638e-13,1.942157515e-13,7.98929055e-14,3.135422659e-13,1.015068346e-13,4.646260679e-14,2.92654811e-14,3.463991851e-13,5.659462782e-14,3.791155146e-14,8.090711743e-14,8.908963384e-14,7.771778832e-13,4.668353396e-14,2.943601224e-13,1.253590458e-14
0.03125,1.934262207e-13,1.774298421e-14,5.796239995e-13,1.27856171e-13,6.817382077e-14,7.543676478e-14,7.888526464e-14,1.603021251e-13,7.543870213e-14,9.399223591e-14,3.387794328e-13,1.277496855e-13,4.986242353e-14,1.14166477e-13,2.245711379e-13,5.062916292e-13,2.559751846e-13,2.009769327e-13,8.127933029e-14,3.197750664e-13,1.027190248e-13,4.682432028e-14,2.970346435e-14,3.50463117e-13,5.825287619e-14,3.932730092e-14,8.268982456e-14,9.035144178e-14,7.827757251e-13,4.71612139e-14,2.964662768e-13,1.29082284e-14
0.0390625,1.970451199e-13,1.842492693e-14,5.834346906e-13,1.290376039e-13,6.937890572e-14,7.714187258e-14,7.952529623e-14,1.616500258e-13,7.617876749e-14,9.554267513e-14,3.421925589e-13,1.288619847e-13,5.108883353e-14,1.157878427e-13,2.317471879e-13,5.206804555e-13,2.632397905e-13,2.07753974e-13,8.261990776e-14,3.259921725e-13,1.039391438e-13,4.713332013e-14,3.013331497e-14,3.543795261e-13,5.990063605e-14,4.07804334e-14,8.45079486e-14,9.157471655e-14,7.880185935e-13,4.764028846e-14,2.983231791e-13,1.327899748e-14
0.046875,2.007616134e-13,1.917280642e-14,5.86983877e-13,1.300912312e-13,7.05593385e-14,7.887224768e-14,8.010044829e-14,1.629057088e-13,7.6883867e-14,9.706486386e-14,3.456190913e-13,1.299208115e-13,5.237313417e-14,1.173938332e-13,2.390770879e-13,5.354118365e-13,2.707413483e-13,2.146709013e-13,8.394434694e-14,3.322307902e-13,1.051488494e-13,4.742637207e-14,3.053405574e-14,3.582215195e-13,6.156310742e-14,4.227370103e-14,8.641666697e-14,9.277447011e-14,7.92859232e-13,4.810884284e-14,3.000127922e-13,1.365229089e-14
0.0546875,2.044411203e-13,1.996106981e-14,5.901492971e-13,1.310407867e-13,7.177565729e-14,8.069177434e-14,8.062646484e-14,1.640943375e-13,7.760131721e-14,9.855210933e-14,3.489190843e-13,1.309379887e-13,5.371283475e-14,1.190462954e-13,2.46534883e-13,5.503200139e-13,2.7837256e-13,2.21738373e-13,8.528829121e-14,3.385873464e-13,1.063348304e-13,4.773582029e-14,3.092175724e-14,3.620048535e-13,6.324706486e-14,4.380737768e-14,8.838516497e-14,9.399542072e-14,7.974192329e-13,4.854041143e-14,3.01541312e-13,1.404269998e-14
0.0625,2.08008931e-13,2.065756734e-14,5.928336214e-13,1.320646278e-13,7.301953931e-14,8.249682623e-14,8.108773104e-14,1.652904769e-13,7.830002001e-14,9.99458521e-14,3.520028681e-13,1.318518547e-13,5.502041681e-14,1.206651786e-13,2.539428e-13,5.651943473e-13,2.860053191e-13,2.288710192e-13,8.658591384e-14,3.449822981e-13,1.074692841e-13,4.800851272e-14,3.131083259e-14,3.656329247e-13,6.494394132e-14,4.537814369e-14,9.030435736e-14,9.514357097e-14,8.015218107e-13,4.893740036e-14,3.02766763e-13,1.444947961e-14
0.0703125,2.116127826e-13,2.133839801e-14,5.951567805e-13,1.330994854e-13,7.426998842e-14,8.424381392e-14,8.147810543e-14,1.664835194e-13,7.895986481e-14,1.012419234e-13,3.549655188e-13,1.327000482e-13,5.631852297e-14,1.222254952e-13,2.61352153e-13,5.802255008e-13,2.937569642e-13,2.361314131e-13,8.783757231e-14,3.513433783e-13,1.085554636e-13,4.823676869e-14,3.1689911e-14,3.691216513e-13,6.664768654e-14,4.69844198e-14,9.220168262e-14,9.620598631e-14,8.050741074e-13,4.932364726e-14,3.037642663e-13,1.484557757e-14
0.078125,2.153203746e-13,2.211500867e-14,5.971393845e-13,1.340534238e-13,7.552185485e-14,8.594962472e-14,8.180369152e-14,1.676331997e-13,7.9616166e-14,1.02504724e-13,3.578662494e-13,1.335413196e-13,5.764430055e-14,1.237667684e-13,2.687731087e-13,5.954501645e-13,3.016417247e-13,2.435075785e-13,8.908088141e-14,3.57792816e-13,1.096155891e-13,4.846096013e-14,3.206059942e-14,3.725894948e-13,6.834278403e-14,4.861289636e-14,9.418942308e-14,9.729729822e-14,8.082778385e-13,4.968972173e-14,3.046414286e-13,1.522996175e-14
