"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,1.011842847e-13,1.00322036e-13,9.618040598e-14,8.858798965e-14,9.720918468e-14,5.959078892e-14,4.614145564e-14,1.371255891e-13,3.559781953e-14,4.91799157e-14,1.633674037e-13,8.227160757e-14,1.693353068e-13,4.121039267e-13,3.36021378e-13,5.427809564e-13,4.664144495e-13,5.460558422e-13,7.821596919e-14,1.103394069e-13,3.805600448e-14,2.408803556e-14,3.447969052e-14,4.701151431e-14,1.90277151e-13,3.894113302e-14,2.545627922e-13,3.000831103e-13,2.386673098e-13,1.681712541e-13,1.117200713e-13,5.605087801e-14
0.015625,1.120026466e-13,1.121660821e-13,1.009968247e-13,9.481925466e-14,1.095272565e-13,6.339014983e-14,5.303295204e-14,1.49955596e-13,4.061100143e-14,5.229646798e-14,1.70808645e-13,8.396277443e-14,1.913520829e-13,4.316915166e-13,3.58888856e-13,6.154536088e-13,5.22532524e-13,6.217501978e-13,8.587075624e-14,1.210951799e-13,3.851341483e-14,2.700758091e-14,3.734103164e-14,5.302320252e-14,1.962058217e-13,4.28865876e-14,2.710968866e-13,3.078619296e-13,2.473055045e-13,1.769946592e-13,1.235885916e-13,6.257616524e-14
0.0234375,1.235913375e-13,1.252031994e-13,1.057055781e-13,1.01769644e-13,1.229903715e-13,6.760103105e-14,6.08822703e-14,1.636470616e-13,4.63625341e-14,5.571890551e-14,1.771744704e-13,8.527768648e-14,2.159538998e-13,4.516199958e-13,3.831886968e-13,6.971510067e-13,5.854424085e-13,7.063293195e-13,9.444306032e-14,1.335991286e-13,3.867554405e-14,3.021955761e-14,4.033581961e-14,5.970847907e-14,2.015997216e-13,4.733136272e-14,2.87858418e-13,3.141071718e-13,2.55466683e-13,1.863656129e-13,1.36655974e-13,6.958724652e-14
0.03125,1.360057586e-13,1.393449493e-13,1.104230832e-13,1.094236325e-13,1.375772362e-13,7.231455532e-14,6.988026207e-14,1.782296475e-13,5.29465775e-14,5.946580777e-14,1.824876853e-13,8.620912736e-14,2.431850838e-13,4.718132871e-13,4.089999893e-13,7.882112283e-13,6.554662053e-13,7.996081774e-13,1.038453751e-13,1.480932012e-13,3.853140795e-14,3.371360213e-14,4.340140446e-14,6.725750777e-14,2.063917834e-13,5.214434101e-14,3.046211819e-13,3.187853477e-13,2.629922485e-13,1.962459264e-13,1.507904075e-13,7.708199113e-14
0.0390625,1.492290428e-13,1.546622651e-13,1.150026607e-13,1.176786009e-13,1.533020682e-13,7.746802e-14,8.006195411e-14,1.936804289e-13,6.043295605e-14,6.376028815e-14,1.868310843e-13,8.688763869e-14,2.732606486e-13,4.92568245e-13,4.366321444e-13,8.890593974e-13,7.327407499e-13,9.016894994e-13,1.140885974e-13,1.646285016e-13,3.819823074e-14,3.754450074e-14,4.658204918e-14,7.583403677e-14,2.106685443e-13,5.730987555e-14,3.213314927e-13,3.222942238e-13,2.699970504e-13,2.066288916e-13,1.660193357e-13,8.507636916e-14
0.046875,1.632951511e-13,1.712410117e-13,1.194971961e-13,1.266951198e-13,1.700839435e-13,8.313501098e-14,9.170133082e-14,2.100688729e-13,6.891691888e-14,6.870487003e-14,1.902692861e-13,8.731128383e-14,3.065634969e-13,5.143981309e-13,4.667050745e-13,1.000426763e-12,8.177608243e-13,1.013222771e-12,1.254224839e-13,1.833404948e-13,3.771474823e-14,4.179076654e-14,4.995492442e-14,8.529133143e-14,2.14653167e-13,6.28956638e-14,3.379814675e-13,3.248113647e-13,2.768500757e-13,2.176811736e-13,1.824074552e-13,9.362106325e-14
0.0546875,1.783446055e-13,1.89044378e-13,1.242718136e-13,1.366458795e-13,1.878900552e-13,8.944493298e-14,1.051061519e-13,2.273940198e-13,7.838657106e-14,7.427264466e-14,1.930252393e-13,8.751666969e-14,3.431947832e-13,5.374325604e-13,4.994619491e-13,1.122771125e-12,9.110994486e-13,1.134769549e-12,1.3812094e-13,2.04565089e-13,3.701674296e-14,4.644561354e-14,5.352693575e-14,9.548013419e-14,2.185011204e-13,6.889916358e-14,3.544655212e-13,3.263590748e-13,2.836625815e-13,2.293859999e-13,1.999813216e-13,1.026655571e-13
0.0625,1.942195462e-13,2.081148069e-13,1.295133529e-13,1.475819948e-13,2.069556286e-13,9.647035794e-14,1.201231411e-13,2.459929957e-13,8.893872714e-14,8.038210481e-14,1.950735337e-13,8.765726693e-14,3.829335689e-13,5.618789636e-13,5.353812555e-13,1.256586415e-12,1.013068005e-12,1.265573895e-12,1.520941977e-13,2.287418639e-13,3.613425801e-14,5.150410566e-14,5.728217867e-14,1.065704604e-13,2.223070722e-13,7.532465187e-14,3.707944959e-13,3.274544948e-13,2.904797313e-13,2.417116268e-13,2.187718504e-13,1.123010723e-13
0.0703125,2.105792048e-13,2.282674597e-13,1.35027246e-13,1.595062095e-13,2.271759994e-13,1.042897469e-13,1.36653762e-13,2.658939897e-13,1.007086148e-13,8.716887039e-14,1.960896079e-13,8.780988981e-14,4.257012134e-13,5.880070008e-13,5.74819431e-13,1.401804605e-12,1.123552042e-12,1.404502145e-12,1.670831521e-13,2.557827192e-13,3.51766318e-14,5.702542607e-14,6.113643497e-14,1.186959999e-13,2.261831703e-13,8.21441398e-14,3.870789994e-13,3.282410755e-13,2.975252065e-13,2.548437111e-13,2.386249081e-13,1.225284783e-13
0.078125,2.274579104e-13,2.49158683e-13,1.407696161e-13,1.724331413e-13,2.48400584e-13,1.130155796e-13,1.548550378e-13,2.870474115e-13,1.136954445e-13,9.463003209e-14,1.960817414e-13,8.79974302e-14,4.715124316e-13,6.156621838e-13,6.174536255e-13,1.558066777e-12,1.242687781e-12,1.55165586e-12,1.831467226e-13,2.854963039e-13,3.427839377e-14,6.303296666e-14,6.506388164e-14,1.317052947e-13,2.303618258e-13,8.936008481e-14,4.032052913e-13,3.287653969e-13,3.047498209e-13,2.689285994e-13,2.594511303e-13,1.332812303e-13
0.0859375,2.449461232e-13,2.707867484e-13,1.472171265e-13,1.863958547e-13,2.708184354e-13,1.228095437e-13,1.749280574e-13,3.097841667e-13,1.279046344e-13,1.027119516e-13,1.956916064e-13,8.82547763e-14,5.200806344e-13,6.447014885e-13,6.633756278e-13,1.725192334e-12,1.370351929e-12,1.706479934e-12,2.004113567e-13,3.183314279e-13,3.34604112e-14,6.950510717e-14,6.904730897e-14,1.455444196e-13,2.34858807e-13,9.694688417e-14,4.187281821e-13,3.29418025e-13,3.120306875e-13,2.837779409e-13,2.812128958e-13,1.446976257e-13
0.09375,2.626730988e-13,2.930972601e-13,1.542736169e-13,2.014022529e-13,2.943220909e-13,1.33786471e-13,1.966677447e-13,3.339258756e-13,1.43219315e-13,1.114591436e-13,1.953452602e-13,8.864178648e-14,5.707441561e-13,6.752037723e-13,7.127197617e-13,1.901827813e-12,1.505384333e-12,1.866649054e-12,2.186494142e-13,3.545982798e-13,3.272267815e-14,7.634164048e-14,7.299096758e-14,1.600950267e-13,2.395325671e-13,1.047557895e-13,4.334438715e-13,3.302146365e-13,3.194785225e-13,2.992040241e-13,3.036795224e-13,1.566410922e-13
0.1015625,2.803379143e-13,3.158192942e-13,1.615346927e-13,2.1742123e-13,3.18577752e-13,1.4584242e-13,2.197396807e-13,3.592663373e-13,1.595054935e-13,1.203701332e-13,1.951419737e-13,8.911638544e-14,6.229381989e-13,7.069275507e-13,7.651261327e-13,2.086366787e-12,1.6468305e-12,2.03042259e-12,2.37667277e-13,3.939088603e-13,3.206509439e-14,8.353427973e-14,7.688385158e-14,1.747787589e-13,2.443132199e-13,1.127307098e-13,4.475157337e-13,3.311642936e-13,3.27076627e-13,3.151350963e-13,3.266238886e-13,1.689844049e-13
0.109375,2.980908546e-13,3.389238949e-13,1.694259375e-13,2.344437939e-13,3.434332372e-13,1.588733025e-13,2.444554584e-13,3.860005657e-13,1.76746358e-13,1.292445059e-13,1.95490785e-13,8.9710452e-14,6.766167947e-13,7.397539562e-13,8.206566327e-13,2.278595239e-12,1.794636067e-12,2.197800313e-12,2.577209432e-13,4.356920891e-13,3.141502994e-14,9.123563729e-14,8.0670432e-14,1.893875239e-13,2.491799984e-13,1.209065281e-13,4.610099482e-13,3.325966302e-13,3.350473011e-13,3.313666135e-13,3.500244362e-13,1.818990581e-13
0.1171875,3.158041778e-13,3.620813221e-13,1.781419856e-13,2.524832175e-13,3.689783099e-13,1.729134151e-13,2.708716693e-13,4.142371666e-13,1.948286988e-13,1.385108686e-13,1.964347833e-13,9.060203086e-14,7.312019562e-13,7.736249374e-13,8.79168006e-13,2.477553546e-12,1.948388366e-12,2.367891895e-12,2.787947467e-13,4.799936273e-13,3.087461754e-14,9.934830658e-14,8.432721352e-14,2.045338269e-13,2.54361708e-13,1.29286328e-13,4.739602288e-13,3.346856496e-13,3.437291578e-13,3.476896612e-13,3.739162495e-13,1.954379918e-13
0.125,3.327944007e-13,3.845714808e-13,1.872392047e-13,2.712691728e-13,3.950760006e-13,1.877939692e-13,2.984448793e-13,4.438140276e-13,2.135870127e-13,1.479301914e-13,1.98075997e-13,9.17161096e-14,7.851279899e-13,8.075225227e-13,9.395756167e-13,2.679849231e-12,2.105793003e-12,2.537157482e-12,3.001527736e-13,5.27325839e-13,3.056148188e-14,1.076575063e-13,8.802693168e-14,2.202035559e-13,2.59786919e-13,1.37751151e-13,4.862145117e-13,3.373211593e-13,3.526048016e-13,3.636493694e-13,3.978127444e-13,2.096412621e-13
0.1328125,3.484571998e-13,4.060545173e-13,1.965737814e-13,2.902050992e-13,4.210789263e-13,2.031938447e-13,3.267597532e-13,4.741805258e-13,2.327657754e-13,1.568930736e-13,2.01131987e-13,9.286079487e-14,8.373751297e-13,8.403338137e-13,1.000837305e-12,2.881788031e-12,2.263511019e-12,2.702202627e-12,3.212397432e-13,5.770992916e-13,3.040059117e-14,1.161518772e-13,9.173497741e-14,2.35573185e-13,2.64954041e-13,1.460242688e-13,4.973957079e-13,3.403479445e-13,3.61037989e-13,3.786292757e-13,4.209954156e-13,2.244101242e-13
