"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,2.417718912e-13,3.34322766e-13,1.868871333e-13,3.066148851e-13,3.410249704e-13,2.159775532e-13,1.934368739e-13,2.454426507e-13,1.679283532e-14,7.760350084e-14,2.348379542e-14,9.070517745e-14,3.255956953e-13,1.156804852e-12,1.20093531e-12,2.053048603e-12,1.796124088e-12,1.340377726e-12,3.605124938e-13,6.846635095e-13,1.509436955e-14,8.511744099e-14,4.792974283e-14,1.532455893e-13,3.634341706e-13,1.587271545e-13,3.670641356e-13,2.307452386e-13,3.706749656e-13,4.288616543e-13,3.503124916e-13,9.267818314e-14
0.015625,2.5747849e-13,3.568081445e-13,1.97315809e-13,3.269599655e-13,3.656328568e-13,2.276271708e-13,2.049731785e-13,2.608946617e-13,1.821937844e-14,7.955246324e-14,2.336941632e-14,9.430691277e-14,3.452274833e-13,1.218465529e-12,1.269455116e-12,2.209309223e-12,1.926976918e-12,1.44338958e-12,3.843463038e-13,7.171596706e-13,1.489550178e-14,8.880074512e-14,5.155939117e-14,1.602602857e-13,3.774625306e-13,1.715743066e-13,3.880209365e-13,2.413674514e-13,3.863222286e-13,4.497904375e-13,3.744075728e-13,1.014300637e-13
0.0234375,2.740015051e-13,3.801848654e-13,2.08142207e-13,3.482829133e-13,3.916401431e-13,2.395339556e-13,2.167384118e-13,2.770593968e-13,1.973939832e-14,8.146067831e-14,2.330717607e-14,9.784987892e-14,3.651695632e-13,1.281466727e-12,1.339603116e-12,2.372335581e-12,2.063056354e-12,1.550957573e-12,4.091913357e-13,7.502037092e-13,1.476990999e-14,9.25126939e-14,5.531592311e-14,1.671583519e-13,3.912193743e-13,1.852583989e-13,4.095445529e-13,2.520435459e-13,4.021992932e-13,4.710887187e-13,3.996142189e-13,1.107964206e-13
0.03125,2.912623504e-13,4.048220627e-13,2.193013438e-13,3.707773587e-13,4.192095538e-13,2.519484145e-13,2.28708928e-13,2.938962205e-13,2.140625131e-14,8.342177216e-14,2.327424854e-14,1.014087273e-13,3.856837533e-13,1.345945424e-12,1.411539169e-12,2.5423536e-12,2.204479909e-12,1.663315337e-12,4.350752361e-13,7.841230883e-13,1.471080796e-14,9.624235992e-14,5.919508851e-14,1.741006475e-13,4.046504683e-13,1.998080567e-13,4.316898036e-13,2.628904772e-13,4.185522723e-13,4.927594441e-13,4.261771767e-13,1.2086542e-13
0.0390625,3.090419281e-13,4.302323512e-13,2.304327677e-13,3.943096023e-13,4.480436227e-13,2.646038198e-13,2.406964467e-13,3.112250666e-13,2.31680204e-14,8.541364745e-14,2.32961841e-14,1.050211972e-13,4.064865544e-13,1.411274739e-12,1.484640571e-12,2.717911451e-12,2.349989883e-12,1.779503887e-12,4.616156879e-13,8.182137071e-13,1.467601428e-14,9.977213257e-14,6.326138937e-14,1.809009013e-13,4.177991239e-13,2.150340391e-13,4.541972899e-13,2.7371178e-13,4.350403855e-13,5.145246788e-13,4.537771971e-13,1.315683559e-13
0.046875,3.272561438e-13,4.560448108e-13,2.415399265e-13,4.1852604e-13,4.777104673e-13,2.77142774e-13,2.526213639e-13,3.289174823e-13,2.498128426e-14,8.734099654e-14,2.338368593e-14,1.085063978e-13,4.269673465e-13,1.476404394e-12,1.557947137e-12,2.897599415e-12,2.498076788e-12,1.898380652e-12,4.88547011e-13,8.511584947e-13,1.467791852e-14,1.030582021e-13,6.746927598e-14,1.872365695e-13,4.303980965e-13,2.30705137e-13,4.764999591e-13,2.842659835e-13,4.508928322e-13,5.35924558e-13,4.817919164e-13,1.428293908e-13
0.0546875,3.459239329e-13,4.828548099e-13,2.527774424e-13,4.435181991e-13,5.083943585e-13,2.896780075e-13,2.643967005e-13,3.468708799e-13,2.683747556e-14,8.926924287e-14,2.354925512e-14,1.118053966e-13,4.47241124e-13,1.541332386e-12,1.631454871e-12,3.081779003e-12,2.64918334e-12,2.020121948e-12,5.160636811e-13,8.82964346e-13,1.474532191e-14,1.061948312e-13,7.173011902e-14,1.929802348e-13,4.422725792e-13,2.46917533e-13,4.986056714e-13,2.946869819e-13,4.665138262e-13,5.570359616e-13,5.105858411e-13,1.546370407e-13
0.0625,3.651424554e-13,5.106105468e-13,2.64159306e-13,4.696313845e-13,5.403500716e-13,3.022925507e-13,2.760546632e-13,3.650925255e-13,2.873918545e-14,9.139447792e-14,2.383424387e-14,1.150233112e-13,4.674601893e-13,1.606354435e-12,1.705498497e-12,3.270321488e-12,2.803843577e-12,2.144841955e-12,5.442445134e-13,9.148673223e-13,1.492303783e-14,1.091644762e-13,7.610606887e-14,1.981513961e-13,4.535897642e-13,2.63802205e-13,5.209170332e-13,3.049095555e-13,4.824967957e-13,5.780258702e-13,5.405799396e-13,1.670235834e-13
0.0703125,3.85071005e-13,5.387800264e-13,2.757176505e-13,4.968774668e-13,5.733762333e-13,3.150851542e-13,2.87795071e-13,3.838127906e-13,3.073847998e-14,9.366305988e-14,2.426376876e-14,1.181413376e-13,4.873976653e-13,1.671109205e-12,1.779449659e-12,3.461882861e-12,2.961033549e-12,2.272019203e-12,5.730217056e-13,9.469749198e-13,1.524805413e-14,1.119745932e-13,8.053453786e-14,2.027455236e-13,4.640751978e-13,2.812586395e-13,5.432835503e-13,3.147604837e-13,4.985203499e-13,5.986252897e-13,5.713721745e-13,1.799714689e-13
0.078125,4.055107614e-13,5.676067809e-13,2.874511383e-13,5.251974233e-13,6.074913098e-13,3.281238976e-13,2.993955803e-13,4.030139542e-13,3.284076499e-14,9.581487044e-14,2.485386879e-14,1.211402154e-13,5.070137734e-13,1.73527421e-12,1.852750861e-12,3.655828681e-12,3.120055995e-12,2.40129535e-12,6.023922458e-13,9.789237814e-13,1.569362221e-14,1.145693328e-13,8.492460801e-14,2.067485092e-13,4.734294452e-13,2.993464226e-13,5.655862383e-13,3.242776045e-13,5.144899152e-13,6.187935238e-13,6.029326891e-13,1.934744738e-13
