"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,2.968193441e-11,3.48202519e-10,7.86546152e-10,1.011705714e-09,6.449340898e-11,3.304680105e-10,7.36736375e-10,1.725617248e-09,9.100973266e-10,7.931488369e-11,2.939934417e-10,3.227860277e-10,2.575961135e-09,7.945440384e-10,1.063545656e-09,7.147489207e-10,3.368123734e-10,3.231154952e-10,4.739876815e-09,6.380882923e-11,5.72415902e-10,8.214800149e-11,1.042372107e-09,1.134743966e-09,8.108257226e-10,4.481151141e-10,1.366012683e-09,2.470871278e-11,1.537136339e-09,3.164848264e-10,2.519777106e-09,1.934009456e-09
0.015625,2.984602037e-11,3.478332676e-10,7.90120139e-10,1.008414e-09,6.425908995e-11,3.279971904e-10,7.304803142e-10,1.731875306e-09,9.06353617e-10,7.967844087e-11,2.948000363e-10,3.23666267e-10,2.564868374e-09,7.904896237e-10,1.058493012e-09,7.073952177e-10,3.3594629e-10,3.212674464e-10,4.721499924e-09,6.318550778e-11,5.709942061e-10,8.219578459e-11,1.033094748e-09,1.135670039e-09,8.14536362e-10,4.495790157e-10,1.368209856e-09,2.451661375e-11,1.537081677e-09,3.132433527e-10,2.50571124e-09,1.927323559e-09
0.0234375,2.977832896e-11,3.447062426e-10,7.877559632e-10,9.970998472e-10,6.355657813e-11,3.231366051e-10,7.185110409e-10,1.725335709e-09,8.953797328e-10,7.944597698e-11,2.932843814e-10,3.220042652e-10,2.533387568e-09,7.801296446e-10,1.04504018e-09,6.947409882e-10,3.3238409e-10,3.168646271e-10,4.669142843e-09,6.209042158e-11,5.654556966e-10,8.159372017e-11,1.01575411e-09,1.12758716e-09,8.119358568e-10,4.475124982e-10,1.359572765e-09,2.414678781e-11,1.524793521e-09,3.075928703e-10,2.471726932e-09,1.905276263e-09
0.03125,2.948269515e-11,3.389329049e-10,7.795101211e-10,9.781410605e-10,6.239833451e-11,3.159574188e-10,7.011407414e-10,1.706105446e-09,8.775338668e-10,7.862377782e-11,2.89521613e-10,3.178661997e-10,2.482524155e-09,7.637866772e-10,1.023610581e-09,6.770675111e-10,3.26240161e-10,3.100301768e-10,4.583468859e-09,6.055113092e-11,5.558687313e-10,8.036337202e-11,9.908007762e-10,1.110822982e-09,8.031424661e-10,4.420123286e-10,1.340454493e-09,2.360383563e-11,1.500747916e-09,2.996612653e-10,2.418855217e-09,1.868588303e-09
0.0390625,2.896856688e-11,3.306110937e-10,7.655379975e-10,9.518937737e-10,6.080541164e-11,3.066108902e-10,6.78724865e-10,1.674497269e-09,8.531975939e-10,7.722436917e-11,2.835746487e-10,3.113223517e-10,2.413296165e-09,7.418351879e-10,9.945974874e-10,6.546843653e-10,3.176857341e-10,3.00924846e-10,4.466060296e-09,5.859630057e-11,5.424063511e-10,7.85249886e-11,9.587467546e-10,1.085670482e-09,7.883067782e-10,4.331702955e-10,1.311217025e-09,2.289977061e-11,1.465400391e-09,2.896246222e-10,2.348228941e-09,1.818020906e-09
0.046875,2.824348867e-11,3.199934843e-10,7.461080098e-10,9.191271446e-10,5.880019873e-11,2.953090749e-10,6.518797205e-10,1.631116296e-09,8.230666545e-10,7.527593792e-11,2.756189123e-10,3.025653024e-10,2.327694103e-09,7.148985066e-10,9.588155626e-10,6.281027202e-10,3.069606309e-10,2.898105719e-10,4.319231296e-09,5.625645793e-11,5.25313425e-10,7.613384433e-11,9.204609553e-10,1.052872901e-09,7.678244134e-10,4.212329774e-10,1.272702247e-09,2.205273991e-11,1.419779362e-09,2.777451442e-10,2.261849946e-09,1.755040037e-09
0.0546875,2.732395297e-11,3.073589591e-10,7.216036545e-10,8.807277716e-10,5.643119989e-11,2.823070273e-10,6.213467267e-10,1.576824794e-09,7.879355305e-10,7.281500965e-11,2.658432846e-10,2.918006851e-10,2.228017036e-09,6.83678893e-10,9.172665496e-10,5.980961381e-10,2.943189838e-10,2.7697331e-10,4.14627223e-09,5.359852288e-11,5.049628935e-10,7.325101501e-11,8.769969505e-10,1.01324544e-09,7.421314843e-10,4.064824731e-10,1.225846285e-09,2.108221268e-11,1.365050744e-09,2.643333959e-10,2.162035889e-09,1.681307288e-09
0.0625,2.623437026e-11,2.929539024e-10,6.926293637e-10,8.374572344e-10,5.375879017e-11,2.678885549e-10,5.877564116e-10,1.512887864e-09,7.485355697e-10,6.989854078e-11,2.54445271e-10,2.792471591e-10,2.116294628e-09,6.488450558e-10,8.707721625e-10,5.652850091e-10,2.800599972e-10,2.626931743e-10,3.951084635e-09,5.06842295e-11,4.818274703e-10,6.993395801e-11,8.292491208e-10,9.676021635e-10,7.117682837e-10,3.89224622e-10,1.171631737e-09,2.00088542e-11,1.302338121e-09,2.496747022e-10,2.05086225e-09,1.598351494e-09
0.0703125,2.499373316e-11,2.771097474e-10,6.598078713e-10,7.902974467e-10,5.084015155e-11,2.524133277e-10,5.518723061e-10,1.440749957e-09,7.057639247e-10,6.659771948e-11,2.416851238e-10,2.651932395e-10,1.99506e-09,6.111890327e-10,8.203778402e-10,5.303841344e-10,2.644932553e-10,2.472916709e-10,3.738285484e-09,4.758195363e-11,4.564504086e-10,6.625660228e-11,7.783150057e-10,9.169972266e-10,6.774377445e-10,3.698526256e-10,1.11128704e-09,1.885658539e-11,1.23305731e-09,2.34111967e-10,1.930858271e-09,1.508051013e-09
0.078125,2.363051687e-11,2.601468734e-10,6.23882141e-10,7.401950826e-10,4.774311792e-11,2.362247298e-10,5.14418991e-10,1.362114435e-09,6.604501613e-10,6.298873408e-11,2.278152316e-10,2.499375671e-10,1.866726856e-09,5.714220099e-10,7.671347486e-10,4.942009731e-10,2.478953625e-10,2.310616811e-10,3.51293274e-09,4.436334821e-11,4.294376543e-10,6.229566493e-11,7.252165372e-10,8.624425408e-10,6.398949692e-10,3.48780559e-10,1.04604796e-09,1.765151599e-11,1.158606757e-09,2.179597956e-10,1.804374997e-09,1.412177806e-09
