"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,6.27722053e-12,6.108778851e-12,1.15475937e-12,1.140446863e-13,6.558585512e-12,2.586193818e-13,1.256755454e-12,1.029301893e-11,2.66556595e-12,4.526153973e-13,3.083404325e-13,5.590963485e-13,8.724376493e-16,1.78510125e-12,3.692714488e-12,6.090187185e-13,1.785573382e-14,7.732977155e-13,2.701172497e-15,5.741005885e-14,2.119531758e-13,1.983522223e-12,1.666875782e-12,5.145434812e-13,6.691126719e-13,3.600719413e-13,2.798494488e-12,6.767863446e-13,1.07248107e-11,8.533633381e-12,9.822641605e-13,1.777095687e-13
0.015625,6.914817031e-12,7.161598692e-12,1.456043401e-12,1.510578713e-13,7.830778105e-12,2.343363547e-13,1.406802826e-12,1.193510155e-11,3.169680311e-12,4.694578041e-13,3.806553427e-13,5.053457186e-13,1.213806055e-15,2.00948022e-12,3.971979772e-12,6.29973266e-13,1.879183876e-14,9.095875392e-13,3.264287302e-15,5.27343062e-14,2.932009429e-13,2.34519366e-12,1.991288725e-12,5.336421461e-13,6.248266067e-13,4.610558792e-13,2.899031191e-12,6.163768005e-13,1.234131097e-11,9.381052432e-12,9.488009976e-13,2.238037988e-13
0.0234375,7.317332648e-12,8.00838759e-12,1.724643441e-12,1.851338098e-13,8.84206231e-12,1.963147731e-13,1.471307687e-12,1.310653895e-11,3.551912294e-12,4.671883727e-13,4.383981743e-13,4.21430143e-13,1.812201279e-15,2.148837674e-12,4.072111223e-12,6.13463666e-13,1.875347906e-14,1.009298767e-12,4.367965604e-15,4.497546777e-14,3.61130258e-13,2.638207246e-12,2.266215628e-12,5.396195922e-13,5.317125392e-13,5.50595927e-13,2.833468145e-12,5.120716079e-13,1.346945028e-11,9.867341045e-12,8.75221652e-13,2.683730375e-13
0.03125,7.430576873e-12,8.561994682e-12,1.914484817e-12,2.125957834e-13,9.509121196e-12,1.566384797e-13,1.475244217e-12,1.376350636e-11,3.795161447e-12,4.598002145e-13,4.66784893e-13,3.301197645e-13,2.538431705e-15,2.204223215e-12,3.996725509e-12,5.685027677e-13,1.811094338e-14,1.076078385e-12,5.798538172e-15,3.696740115e-14,4.209315778e-13,2.822032001e-12,2.446310239e-12,5.58596481e-13,4.164997634e-13,6.216099529e-13,2.656481533e-12,3.908485388e-13,1.409587942e-11,9.974073015e-12,7.821573331e-13,3.016294282e-13
0.0390625,7.278215769e-12,8.854472213e-12,2.015023607e-12,2.339497403e-13,9.884324579e-12,1.238774795e-13,1.411478865e-12,1.405585723e-11,3.940270291e-12,4.610697158e-13,4.601972073e-13,2.327834375e-13,3.352730207e-15,2.206569113e-12,3.795562024e-12,5.161969686e-13,1.980437669e-14,1.131186498e-12,7.775573233e-15,2.943864836e-14,4.839113464e-13,2.897264751e-12,2.523004705e-12,6.373857408e-13,3.013085911e-13,6.694779737e-13,2.456855211e-12,2.783469828e-13,1.439924649e-11,9.784586366e-12,6.800133854e-13,3.199094035e-13
0.046875,7.09561788e-12,8.951795566e-12,2.033742169e-12,2.410218418e-13,9.961886572e-12,1.00263359e-13,1.257994457e-12,1.399691081e-11,3.953517131e-12,4.763507535e-13,4.235591021e-13,1.563800018e-13,4.543878167e-15,2.153776743e-12,3.546917447e-12,4.608960642e-13,2.333198623e-14,1.164550674e-12,1.140859596e-14,2.45040298e-14,5.079755307e-13,2.899151608e-12,2.527905579e-12,7.761264509e-13,2.045914448e-13,6.812052094e-13,2.288131959e-12,1.913160313e-13,1.43650961e-11,9.506449053e-12,6.130593817e-13,3.291151417e-13
0.0546875,6.924968675e-12,8.895052294e-12,1.99589019e-12,2.340348034e-13,9.822797978e-12,8.450517343e-14,1.069017689e-12,1.37034935e-11,3.871150738e-12,5.004537079e-13,3.664726242e-13,1.088890942e-13,6.015570717e-15,2.057636739e-12,3.282791793e-12,4.076732796e-13,2.890333236e-14,1.187539418e-12,1.741292493e-14,2.306255541e-14,4.93510266e-13,2.84733314e-12,2.473711799e-12,9.682417168e-13,1.382369217e-13,6.651592481e-13,2.179638223e-12,1.346564471e-13,1.408476371e-11,9.189769916e-12,5.770529833e-13,3.288638719e-13
0.0625,6.671741817e-12,8.710501621e-12,1.955105749e-12,2.214778686e-13,9.623316749e-12,7.408222755e-14,9.208139944e-13,1.332148664e-11,3.763650084e-12,5.1349027e-13,3.044456742e-13,7.413453813e-14,7.000303271e-15,1.936186994e-12,2.988828175e-12,3.587534562e-13,3.646023996e-14,1.215554827e-12,2.569654282e-14,2.362428927e-14,4.778730128e-13,2.763800168e-12,2.386535697e-12,1.187025195e-12,9.476915608e-14,6.484529445e-13,2.112531612e-12,1.015606767e-13,1.369400948e-11,8.749300933e-12,5.329832729e-13,3.185349195e-13
0.0703125,6.466478716e-12,8.45409952e-12,1.931307594e-12,2.03492189e-13,9.34394159e-12,6.949815257e-14,7.902194066e-13,1.283300326e-11,3.618887707e-12,5.147062772e-13,2.504037871e-13,5.993589367e-14,7.698469322e-15,1.792324486e-12,2.708597701e-12,3.125789607e-13,4.292938544e-14,1.231705406e-12,3.54147954e-14,2.635295567e-14,4.439027256e-13,2.668767367e-12,2.285934103e-12,1.377842295e-12,7.07432502e-14,6.239161735e-13,2.072483405e-12,8.485746271e-14,1.313188066e-11,8.278339373e-12,5.051921749e-13,3.041725068e-13
0.078125,6.327319438e-12,8.180817622e-12,1.938374535e-12,1.815597068e-13,9.019245625e-12,6.807867034e-14,6.859085149e-13,1.228844456e-11,3.465043235e-12,5.005443141e-13,2.136616951e-13,6.181571498e-14,8.898232471e-15,1.650965606e-12,2.48381844e-12,2.724337894e-13,4.632092586e-14,1.228290909e-12,4.622737157e-14,3.027373902e-14,3.842317671e-13,2.575812583e-12,2.188378675e-12,1.477896841e-12,5.88787264e-14,5.91591275e-13,2.044458881e-12,8.160321763e-14,1.244275254e-11,7.825327246e-12,4.868442484e-13,2.885625535e-13
