"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,2.195245135e-13,4.190316164e-13,3.957633235e-13,1.466647112e-13,2.061043838e-13,2.89502587e-13,3.080683781e-14,4.835850752e-13,3.483728429e-14,3.256623321e-13,6.529476223e-13,8.671967624e-14,1.048990983e-13,2.405068386e-13,2.461739764e-13,3.423790138e-13,1.395342449e-13,1.447632948e-13,4.076523184e-13,2.406693839e-13,4.337440242e-13,3.841848496e-13,1.015608651e-12,3.313113292e-14,8.991962821e-14,2.337651527e-13,2.669164664e-13,8.435238686e-13,2.794419484e-13,1.027481406e-12,2.563493935e-13,5.512056636e-14
0.015625,2.328475459e-13,4.403597826e-13,3.978644305e-13,1.579860428e-13,2.228320333e-13,2.935438527e-13,3.370424332e-14,4.923417325e-13,3.563420816e-14,3.318684658e-13,6.758229992e-13,9.097343068e-14,1.112018804e-13,2.508721795e-13,2.602235738e-13,3.592549072e-13,1.535643067e-13,1.524092553e-13,4.213916429e-13,2.430821277e-13,4.509738331e-13,4.040551566e-13,1.068579644e-12,3.435876254e-14,9.842365546e-14,2.48329687e-13,2.800239981e-13,8.815543381e-13,2.93569834e-13,1.084434593e-12,2.722186847e-13,5.96924961e-14
0.0234375,2.4624914e-13,4.618415381e-13,3.989361624e-13,1.702323787e-13,2.405153531e-13,2.971785175e-13,3.68501739e-14,5.004659324e-13,3.63284957e-14,3.376378605e-13,6.994936786e-13,9.537035396e-14,1.176572355e-13,2.613334346e-13,2.748629339e-13,3.765246693e-13,1.687605384e-13,1.605751489e-13,4.345944708e-13,2.454279728e-13,4.67672781e-13,4.238103663e-13,1.121930896e-12,3.562025629e-14,1.073369145e-13,2.637158553e-13,2.936542404e-13,9.214352515e-13,3.082025386e-13,1.141994466e-12,2.885783327e-13,6.460172077e-14
0.03125,2.599678926e-13,4.835975763e-13,3.987067629e-13,1.833420717e-13,2.590994068e-13,3.006565637e-13,4.023967796e-14,5.07998499e-13,3.689826955e-14,3.428877827e-13,7.236109366e-13,9.993062181e-14,1.240988819e-13,2.719597869e-13,2.902590169e-13,3.939110913e-13,1.849127704e-13,1.69054576e-13,4.471897311e-13,2.477397176e-13,4.840439781e-13,4.434946729e-13,1.175682508e-12,3.702425422e-14,1.167181941e-13,2.799113673e-13,3.077398228e-13,9.618832865e-13,3.230693306e-13,1.200684086e-12,3.054463408e-13,7.002998639e-14
0.0390625,2.737478475e-13,5.053494984e-13,3.978745554e-13,1.968475977e-13,2.782398229e-13,3.033109691e-13,4.386239495e-14,5.149695844e-13,3.732338597e-14,3.477165422e-13,7.484102262e-13,1.046753919e-13,1.305913812e-13,2.827630107e-13,3.06081572e-13,4.111074938e-13,2.019463563e-13,1.781085699e-13,4.593528393e-13,2.501579457e-13,5.000403217e-13,4.634029136e-13,1.229710496e-12,3.844544909e-14,1.269908426e-13,2.970751271e-13,3.225149981e-13,1.003571607e-12,3.37996072e-13,1.260748258e-12,3.226055138e-13,7.613708604e-14
0.046875,2.875457889e-13,5.276355625e-13,3.967839534e-13,2.110430603e-13,2.980721084e-13,3.048848173e-13,4.779542963e-14,5.211036154e-13,3.76850899e-14,3.518413244e-13,7.743948659e-13,1.09842077e-13,1.371787743e-13,2.940896063e-13,3.226732857e-13,4.281608919e-13,2.201341471e-13,1.880892938e-13,4.71055506e-13,2.527585421e-13,5.152372031e-13,4.834159079e-13,1.283680212e-12,3.980750299e-14,1.38160527e-13,3.152534645e-13,3.381659405e-13,1.047772168e-12,3.533389891e-13,1.322541681e-12,3.40273926e-13,8.297583081e-14
0.0546875,3.014476721e-13,5.506889735e-13,3.941095933e-13,2.261844783e-13,3.18559199e-13,3.06394038e-13,5.1998065e-14,5.264482418e-13,3.801400301e-14,3.550448896e-13,8.009339396e-13,1.154733189e-13,1.436503631e-13,3.058740987e-13,3.401767346e-13,4.450493949e-13,2.395419999e-13,1.987416875e-13,4.820338372e-13,2.555718994e-13,5.297742234e-13,5.033689466e-13,1.337614625e-12,4.127423591e-14,1.497470439e-13,3.34278166e-13,3.544105687e-13,1.093342826e-12,3.688347074e-13,1.3854268e-12,3.584280762e-13,9.0402068e-14
0.0625,3.150078004e-13,5.735182882e-13,3.899999597e-13,2.417845739e-13,3.39290551e-13,3.078259412e-13,5.636199465e-14,5.310886617e-13,3.822440046e-14,3.577989887e-13,8.281778054e-13,1.212455852e-13,1.499230229e-13,3.174920162e-13,3.579381275e-13,4.620067936e-13,2.599612026e-13,2.098134842e-13,4.921695591e-13,2.585189698e-13,5.437819487e-13,5.233645093e-13,1.39131717e-12,4.289512061e-14,1.618642633e-13,3.540409768e-13,3.709917195e-13,1.139746822e-12,3.840679057e-13,1.447994887e-12,3.765734951e-13,9.828512943e-14
0.0703125,3.279209894e-13,5.956879352e-13,3.856180995e-13,2.577500933e-13,3.602828735e-13,3.086234987e-13,6.095437857e-14,5.348964939e-13,3.823536931e-14,3.604168702e-13,8.569184338e-13,1.270446972e-13,1.560547251e-13,3.288320607e-13,3.757233105e-13,4.788704018e-13,2.81198807e-13,2.214801451e-13,5.013639336e-13,2.615831837e-13,5.568497134e-13,5.43253285e-13,1.444530511e-12,4.466087018e-14,1.747570796e-13,3.748114553e-13,3.879756079e-13,1.188260484e-12,3.992014394e-13,1.5099792e-12,3.945670422e-13,1.067917763e-13
0.078125,3.402211272e-13,6.17523295e-13,3.805572548e-13,2.742508595e-13,3.816379447e-13,3.090691231e-13,6.585202446e-14,5.379116357e-13,3.808541898e-14,3.627290288e-13,8.871905549e-13,1.331010367e-13,1.620563309e-13,3.402578864e-13,3.936675006e-13,4.95166524e-13,3.032071558e-13,2.338039328e-13,5.095876762e-13,2.648301387e-13,5.688276677e-13,5.630262308e-13,1.497436145e-12,4.651587003e-14,1.883329461e-13,3.97075807e-13,4.05653813e-13,1.239090554e-12,4.14266709e-13,1.57163939e-12,4.125535158e-13,1.160786919e-13
