"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,1.969160948e-13,1.824559867e-13,2.847597521e-13,3.210248448e-13,2.881531979e-13,3.259070029e-13,4.496074797e-14,2.864862773e-13,5.257088264e-13,9.717198244e-14,3.604419374e-13,3.260521187e-13,7.519726712e-13,9.451832423e-13,7.034367803e-13,7.763445811e-13,9.572831143e-13,8.120097183e-13,5.394416082e-13,4.785386128e-12,3.11644588e-13,3.260766979e-13,3.616532309e-13,9.835875053e-14,2.063860776e-13,3.82492469e-13,2.032124493e-13,2.743178248e-13,1.77188687e-13,6.009365105e-14,2.983384156e-13,4.048149485e-13
0.015625,2.214862257e-13,2.026424273e-13,3.177413229e-13,3.522615335e-13,3.219641653e-13,3.483794001e-13,4.561782284e-14,3.179077374e-13,5.504557088e-13,1.043103652e-13,3.831153597e-13,3.49230987e-13,8.298784025e-13,1.092196231e-12,7.544626153e-13,8.111473351e-13,9.879700523e-13,8.839830139e-13,6.146083113e-13,5.071068479e-12,3.352289157e-13,3.560829104e-13,3.901474982e-13,1.164876814e-13,2.324135763e-13,4.171058773e-13,2.132337711e-13,2.888606215e-13,1.891423802e-13,6.392281344e-14,3.347715931e-13,4.339238367e-13
0.0234375,2.486632187e-13,2.247029481e-13,3.54131024e-13,3.856328909e-13,3.596796637e-13,3.705782318e-13,4.600147376e-14,3.52766268e-13,5.719058384e-13,1.115672847e-13,4.048116051e-13,3.716439956e-13,9.126842405e-13,1.256582424e-12,8.08206876e-13,8.450041114e-13,1.014097802e-12,9.623676704e-13,6.989597662e-13,5.348162342e-12,3.59813923e-13,3.86370991e-13,4.188729573e-13,1.372768124e-13,2.608782903e-13,4.541255163e-13,2.229808738e-13,3.026449178e-13,2.0175335e-13,6.789644034e-14,3.754031097e-13,4.637592167e-13
0.03125,2.7856395e-13,2.489557337e-13,3.946086658e-13,4.211222788e-13,4.013422073e-13,3.929734342e-13,4.641237291e-14,3.921162964e-13,5.900788091e-13,1.190944437e-13,4.254795235e-13,3.938690211e-13,1.001240299e-12,1.440937795e-12,8.657694801e-13,8.786785222e-13,1.035930297e-12,1.04790613e-12,7.931195793e-13,5.615221779e-12,3.851044831e-13,4.169385555e-13,4.478051824e-13,1.607127742e-13,2.919796327e-13,4.932781711e-13,2.323096285e-13,3.159824019e-13,2.151647256e-13,7.1929509e-14,4.201773717e-13,4.941688982e-13
0.0390625,3.111265558e-13,2.754991293e-13,4.394821406e-13,4.590621111e-13,4.471562666e-13,4.164022225e-13,4.703063455e-14,4.361712567e-13,6.04739844e-13,1.268820836e-13,4.456085934e-13,4.156953452e-13,1.09520915e-12,1.645671337e-12,9.276028303e-13,9.123980589e-13,1.053640497e-12,1.140754579e-12,8.972714149e-13,5.87092326e-12,4.111089704e-13,4.473339653e-13,4.767045809e-13,1.868977529e-13,3.256066676e-13,5.343585584e-13,2.409198872e-13,3.284342475e-13,2.289874874e-13,7.627692883e-14,4.686415503e-13,5.249065326e-13
0.046875,3.468049158e-13,3.041925313e-13,4.884635707e-13,4.989844172e-13,4.977722247e-13,4.400214853e-13,4.786261182e-14,4.850469959e-13,6.157622527e-13,1.350509642e-13,4.650458661e-13,4.36674179e-13,1.19452888e-12,1.871044721e-12,9.938081163e-13,9.463648741e-13,1.067859151e-12,1.241630187e-12,1.012294138e-12,6.116358215e-12,4.383866285e-13,4.768551265e-13,5.050252294e-13,2.157055052e-13,3.616338688e-13,5.778113634e-13,2.489111181e-13,3.399405838e-13,2.43342956e-13,8.103075351e-14,5.212455212e-13,5.563036681e-13
0.0546875,3.860254191e-13,3.353645179e-13,5.429532784e-13,5.403228095e-13,5.532219458e-13,4.632558245e-13,4.88158794e-14,5.383727794e-13,6.228037789e-13,1.433864181e-13,4.832633576e-13,4.571498796e-13,1.300134946e-12,2.119495874e-12,1.065308301e-12,9.813527337e-13,1.078461767e-12,1.351563158e-12,1.139019748e-12,6.351021702e-12,4.67144352e-13,5.058146181e-13,5.325637657e-13,2.473919341e-13,4.004968832e-13,6.241992918e-13,2.568155918e-13,3.510206082e-13,2.590156939e-13,8.619067299e-14,5.789799915e-13,5.884101129e-13
0.0625,4.285745772e-13,3.692060984e-13,6.024002763e-13,5.832638937e-13,6.133522065e-13,4.865910568e-13,4.977518792e-14,5.961127845e-13,6.25896326e-13,1.516470391e-13,5.005669035e-13,4.771732801e-13,1.411622395e-12,2.389497417e-12,1.141505561e-12,1.016903911e-12,1.084812275e-12,1.470329576e-12,1.277265372e-12,6.573221887e-12,4.972682085e-13,5.340375888e-13,5.594271404e-13,2.818102834e-13,4.420760222e-13,6.733113356e-13,2.646948391e-13,3.613357516e-13,2.761711348e-13,9.171091663e-14,6.41832086e-13,6.209871101e-13
0.0703125,4.741048261e-13,4.050466468e-13,6.662800093e-13,6.269941797e-13,6.777034456e-13,5.093661682e-13,5.087042944e-14,6.58244572e-13,6.250190191e-13,1.599118382e-13,5.16554746e-13,4.960611485e-13,1.527428281e-12,2.677944141e-12,1.220942727e-12,1.051933655e-12,1.086747796e-12,1.596891277e-12,1.426613127e-12,6.78144358e-12,5.284022889e-13,5.597966431e-13,5.853555628e-13,3.190361085e-13,4.858785053e-13,7.243223256e-13,2.721379858e-13,3.706006712e-13,2.941540138e-13,9.777268898e-14,7.085953854e-13,6.53419588e-13
0.078125,5.225278429e-13,4.420209996e-13,7.352879699e-13,6.705254556e-13,7.457020042e-13,5.314145341e-13,5.214463259e-14,7.247842145e-13,6.196998959e-13,1.681481862e-13,5.307591675e-13,5.131619392e-13,1.646217659e-12,2.983565058e-12,1.304213404e-12,1.086772636e-12,1.084121289e-12,1.730462906e-12,1.586432052e-12,6.973290191e-12,5.602958807e-13,5.821587671e-13,6.095881888e-13,3.589468718e-13,5.315747647e-13,7.767059041e-13,2.788877775e-13,3.798974658e-13,3.126739919e-13,1.043664058e-13,7.781762009e-13,6.850907328e-13
0.0859375,5.736568531e-13,4.80152317e-13,8.086296779e-13,7.147205867e-13,8.17852565e-13,5.536867696e-13,5.370535047e-14,7.963755684e-13,6.103197258e-13,1.762581569e-13,5.443846525e-13,5.285769527e-13,1.767395938e-12,3.304903721e-12,1.392562156e-12,1.122353976e-12,1.077253208e-12,1.87065873e-12,1.75601121e-12,7.149998656e-12,5.933420198e-13,6.011749639e-13,6.315925873e-13,4.007792159e-13,5.786319214e-13,8.304051815e-13,2.857427658e-13,3.895528149e-13,3.324262787e-13,1.113938922e-13,8.506792701e-13,7.160610802e-13
0.09375,6.274724265e-13,5.196240642e-13,8.872960946e-13,7.598696797e-13,8.936775723e-13,5.764082178e-13,5.576283473e-14,8.724173219e-13,5.971836215e-13,1.840683437e-13,5.581362571e-13,5.425642132e-13,1.890176107e-12,3.639799303e-12,1.486536854e-12,1.159367727e-12,1.067564269e-12,2.016595212e-12,1.934558294e-12,7.315239779e-12,6.278525885e-13,6.162633894e-13,6.514290056e-13,4.446820845e-13,6.271223598e-13,8.850042673e-13,2.934495257e-13,3.986641325e-13,3.537505414e-13,1.190463446e-13,9.256406414e-13,7.45909806e-13
0.1015625,6.83845026e-13,5.602493071e-13,9.717311903e-13,8.055268408e-13,9.720126698e-13,5.998783137e-13,5.829941411e-14,9.518135384e-13,5.804392656e-13,1.913772099e-13,5.715772595e-13,5.55035928e-13,2.013463048e-12,3.984787885e-12,1.586258558e-12,1.199195561e-12,1.057202458e-12,2.167163276e-12,2.120711228e-12,7.47029195e-12,6.636455878e-13,6.267341378e-13,6.689642596e-13,4.898791193e-13,6.771854623e-13,9.399785447e-13,3.017312728e-13,4.074653592e-13,3.760846839e-13,1.272331887e-13,1.001942731e-12,7.739167906e-13
