"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,4.586042752e-14,1.185018121e-14,4.350018317e-13,1.673420556e-14,2.403895035e-14,1.720971522e-14,1.29026034e-14,3.420468417e-14,2.698965552e-14,6.597441253e-14,1.201365633e-13,5.885058206e-14,1.836311804e-14,1.014678811e-14,1.891938285e-14,2.220813491e-14,4.875233958e-14,1.845297721e-14,1.123453294e-14,2.306642427e-14,1.802750569e-14,2.411617421e-14,6.911097378e-14,1.76585182e-13,8.826334413e-14,2.110216738e-14,3.004150399e-14,7.049369222e-14,7.379298345e-14,2.119724341e-14,3.250863895e-14,7.886228755e-15
0.015625,5.670044413e-14,1.29634609e-14,5.519925802e-13,1.909566952e-14,3.093191152e-14,1.810817949e-14,1.239077879e-14,3.889428415e-14,3.534807603e-14,7.441557465e-14,1.677446796e-13,6.939666727e-14,2.108689946e-14,1.358790839e-14,2.157735944e-14,2.794488572e-14,5.989497125e-14,2.601698079e-14,1.384260763e-14,3.689394121e-14,2.047002769e-14,2.662417538e-14,7.875291759e-14,2.147044557e-13,1.071673296e-13,3.248013502e-14,4.399085968e-14,8.443432281e-14,9.738878991e-14,3.008079128e-14,4.043961404e-14,9.457361643e-15
0.0234375,6.533153878e-14,1.334706895e-14,6.661073467e-13,2.022106009e-14,3.792029513e-14,1.802935004e-14,1.167901727e-14,4.088057539e-14,4.254080843e-14,7.997994858e-14,2.198845941e-13,7.687231133e-14,2.538800446e-14,1.726757815e-14,2.545263555e-14,3.404061712e-14,7.047807859e-14,3.547488857e-14,1.703175521e-14,5.903812341e-14,2.260192302e-14,2.868952313e-14,8.893122788e-14,2.43750869e-13,1.251097096e-13,4.925283721e-14,6.182380897e-14,9.348567054e-14,1.215263444e-13,4.125760454e-14,4.814744291e-14,1.23565229e-14
0.03125,6.948325799e-14,1.294778141e-14,7.703054288e-13,1.999716341e-14,4.567930732e-14,1.708137048e-14,1.051080381e-14,4.004198555e-14,4.751090537e-14,8.386884427e-14,2.710864913e-13,8.083264709e-14,3.257240398e-14,2.172311487e-14,3.169064083e-14,4.042072427e-14,8.063337442e-14,4.735543196e-14,2.183472377e-14,9.179185508e-14,2.483263347e-14,3.092763504e-14,9.981138361e-14,2.61636312e-13,1.396502805e-13,7.283963257e-14,8.51021386e-14,9.598646945e-14,1.456868122e-13,5.458555266e-14,5.635459412e-14,1.795639114e-14
0.0390625,6.962313148e-14,1.277336991e-14,8.507133924e-13,1.947284547e-14,5.416492306e-14,1.557571494e-14,8.998781112e-15,3.658342723e-14,4.937339865e-14,8.747308902e-14,3.119843886e-13,7.950738812e-14,4.130171824e-14,2.615219176e-14,4.036436038e-14,4.563184962e-14,8.934783196e-14,5.941531112e-14,2.814967257e-14,1.347468769e-13,2.700042361e-14,3.4103096e-14,1.124310113e-13,2.745091998e-13,1.486124199e-13,1.022687839e-13,1.119346352e-13,9.197742977e-14,1.653618683e-13,6.799447099e-14,6.447350503e-14,2.752443776e-14
0.046875,6.493947103e-14,1.274529068e-14,9.086063649e-13,1.751379151e-14,6.220684066e-14,1.443938826e-14,7.784959744e-15,3.265270422e-14,4.763725511e-14,9.233893406e-14,3.37133454e-13,7.368670731e-14,4.932395766e-14,2.986368966e-14,5.271044366e-14,4.907114779e-14,9.594703221e-14,7.129741847e-14,3.759780747e-14,1.880341885e-13,2.962869263e-14,3.999528858e-14,1.270172936e-13,2.857048355e-13,1.53208371e-13,1.380251932e-13,1.413721917e-13,8.284937883e-14,1.787366761e-13,8.163793011e-14,7.208920802e-14,4.185345704e-14
0.0546875,5.680814729e-14,1.311306465e-14,9.447956642e-13,1.569941056e-14,7.220496983e-14,1.480203067e-14,7.371624816e-15,2.995754662e-14,4.357956187e-14,9.768605683e-14,3.413600344e-13,6.676049626e-14,5.681277021e-14,3.521854345e-14,6.860529943e-14,5.311309818e-14,1.028898032e-13,8.392033981e-14,4.932868441e-14,2.551963834e-13,3.371173664e-14,4.773689319e-14,1.421234304e-13,3.014094088e-13,1.524554276e-13,1.807845964e-13,1.738072814e-13,6.967839955e-14,1.867164913e-13,9.311727459e-14,8.111487746e-14,6.193296465e-14
0.0625,4.767005367e-14,1.476657921e-14,9.534649943e-13,1.453850935e-14,8.489186434e-14,1.675198501e-14,8.129875099e-15,3.029090739e-14,3.868343674e-14,1.035135646e-13,3.225205167e-13,5.852427484e-14,6.241796941e-14,4.169490676e-14,8.47092948e-14,5.587708439e-14,1.08377951e-13,9.330054732e-14,6.057302755e-14,3.275847885e-13,3.807590341e-14,5.750398888e-14,1.557850359e-13,3.313479939e-13,1.447415971e-13,2.257078933e-13,2.052418467e-13,5.638604574e-14,1.864298199e-13,9.967930348e-14,8.939200394e-14,8.678153438e-14
0.0703125,3.874628735e-14,1.686114964e-14,9.334155547e-13,1.361558331e-14,9.891057469e-14,2.210022446e-14,1.104463965e-14,3.523916767e-14,3.426298008e-14,1.083464998e-13,2.851550826e-13,4.980856055e-14,6.430846281e-14,4.844979096e-14,9.894160781e-14,5.698360703e-14,1.121279994e-13,9.755694964e-14,6.991752789e-14,3.995226323e-13,4.247895669e-14,6.842516481e-14,1.656214156e-13,3.807706351e-13,1.315808685e-13,2.685224796e-13,2.323277e-13,4.55418258e-14,1.765640937e-13,9.974343644e-14,9.523083197e-14,1.152879527e-13
0.078125,3.091004431e-14,2.018860427e-14,8.956939915e-13,1.340911775e-14,1.133021132e-13,2.951812056e-14,1.657343386e-14,4.462946049e-14,3.203510742e-14,1.094177597e-13,2.37111296e-13,4.198183233e-14,6.232295342e-14,5.459835855e-14,1.080527953e-13,5.679950798e-14,1.139563406e-13,9.667333768e-14,7.481344551e-14,4.601771318e-13,4.662465229e-14,8.063251243e-14,1.705433025e-13,4.528434926e-13,1.14835028e-13,3.049210886e-13,2.523763884e-13,3.791313961e-14,1.599751047e-13,9.481261678e-14,9.807289329e-14,1.449291742e-13
0.0859375,2.691309587e-14,2.458356597e-14,8.4175092e-13,1.40268381e-14,1.259782071e-13,3.819325155e-14,2.607698797e-14,5.744688541e-14,3.267847278e-14,1.06207768e-13,1.862979911e-13,3.494066025e-14,5.851167253e-14,5.853270636e-14,1.105120969e-13,5.409108582e-14,1.108093684e-13,8.859935875e-14,7.289293189e-14,5.004752268e-13,4.917594342e-14,9.384282886e-14,1.673645071e-13,5.423269595e-13,9.513272187e-14,3.282183136e-13,2.612026534e-13,3.398199559e-14,1.37493854e-13,8.567975418e-14,9.566303353e-14,1.714688167e-13
0.09375,2.684860793e-14,3.034305792e-14,7.777720913e-13,1.546848797e-14,1.340946179e-13,4.550883626e-14,3.966320184e-14,7.27828496e-14,3.704352339e-14,9.771349416e-14,1.413475452e-13,2.825419467e-14,5.282317891e-14,5.669478583e-14,1.046722295e-13,4.805765288e-14,1.018924457e-13,7.540904007e-14,6.444042546e-14,5.13574885e-13,4.970990092e-14,1.07654153e-13,1.558291296e-13,6.485032014e-13,7.46192016e-14,3.346513685e-13,2.563204325e-13,3.435794628e-14,1.123478259e-13,7.514963049e-14,8.714144026e-14,1.923616877e-13
0.1015625,3.236769166e-14,3.638322024e-14,7.098812726e-13,1.810496163e-14,1.370145746e-13,5.106775496e-14,5.816649839e-14,9.090947659e-14,4.51652864e-14,8.540036296e-14,1.071515067e-13,2.247509887e-14,4.854428968e-14,5.349041748e-14,9.60935774e-14,4.105681738e-14,9.091947131e-14,6.469955852e-14,5.371791908e-14,5.100270351e-13,4.857678836e-14,1.235868517e-13,1.400265326e-13,7.590482718e-13,5.626576578e-14,3.26151352e-13,2.399676154e-13,3.731617231e-14,8.929208525e-14,6.645765719e-14,7.458680396e-14,2.081294297e-13
0.109375,4.368118376e-14,4.382870104e-14,6.345533024e-13,2.368890349e-14,1.363502717e-13,5.401658146e-14,8.003168422e-14,1.106506135e-13,5.6279307e-14,7.226792204e-14,8.413946395e-14,1.75132465e-14,4.887286875e-14,4.984751599e-14,8.495519757e-14,3.572229334e-14,7.946975485e-14,5.849051092e-14,4.14952236e-14,4.944222874e-13,4.565272307e-14,1.408939089e-13,1.208763006e-13,8.676951568e-13,4.031170888e-14,3.05662143e-13,2.156747393e-13,4.149084012e-14,7.144636657e-14,6.176330056e-14,6.053843065e-14,2.192209331e-13
0.1171875,6.188463222e-14,5.548451677e-14,5.595425431e-13,3.456292433e-14,1.275630961e-13,5.199836949e-14,1.040222286e-13,1.2647331e-13,6.858097686e-14,5.923975709e-14,7.219203782e-14,1.368356188e-14,5.466727336e-14,4.315420881e-14,6.974705026e-14,3.070771053e-14,6.43030285e-14,5.866521003e-14,2.833570752e-14,4.569352212e-13,4.061868429e-14,1.580798577e-13,9.791578767e-14,9.689271671e-13,2.711141221e-14,2.701814877e-13,1.820008819e-13,4.778590287e-14,5.960082803e-14,6.263147985e-14,4.386269715e-14,2.218386437e-13
0.125,8.561255238e-14,7.036973928e-14,4.926684136e-13,5.154685834e-14,1.130740914e-13,4.792087574e-14,1.288880051e-13,1.369397197e-13,8.077879049e-14,4.767623058e-14,6.72476033e-14,1.236975846e-14,6.796344004e-14,4.025896165e-14,6.140624919e-14,2.971551663e-14,5.023544421e-14,7.555656941e-14,1.964635144e-14,4.177709302e-13,3.482257324e-14,1.703694838e-13,7.590659844e-14,1.056202457e-12,1.808854124e-14,2.257884794e-13,1.43328632e-13,5.585786482e-14,5.398110285e-14,6.779042095e-14,2.786818903e-14,2.18620428e-13
0.1328125,1.11267133e-13,8.808038304e-14,4.196745129e-13,7.51862785e-14,9.915563156e-14,4.670239022e-14,1.550372861e-13,1.439681e-13,9.229213478e-14,4.018621918e-14,6.325290941e-14,1.608666728e-14,8.900811445e-14,4.88570232e-14,6.441480345e-14,3.76870841e-14,4.368441564e-14,1.098269665e-13,1.691203426e-14,3.941479539e-13,2.942589272e-14,1.763739693e-13,5.662395413e-14,1.124093962e-12,1.300330859e-14,1.815824549e-13,1.055734224e-13,6.343036778e-14,5.234033018e-14,7.419796999e-14,1.659203276e-14,2.136975158e-13
0.140625,1.313700044e-13,1.076290111e-13,3.493057163e-13,1.015747398e-13,8.858364586e-14,4.96482037e-14,1.796745753e-13,1.445353788e-13,1.010142789e-13,3.624239238e-14,5.994497825e-14,2.648957266e-14,1.14812649e-13,6.826706157e-14,7.421923807e-14,5.008163075e-14,4.000995081e-14,1.519035363e-13,1.797228407e-14,3.721487723e-13,2.537446933e-14,1.724993155e-13,4.093692836e-14,1.166968915e-12,1.176816635e-14,1.40522351e-13,7.175537041e-14,7.122286697e-14,5.209065135e-14,8.016623289e-14,9.370454657e-15,2.059519743e-13
0.1484375,1.428005254e-13,1.278976501e-13,2.849267083e-13,1.286045426e-13,8.219377016e-14,5.879583823e-14,2.045630814e-13,1.354609799e-13,1.044141223e-13,3.487663078e-14,5.598218495e-14,4.668173399e-14,1.395958177e-13,1.008613961e-13,9.072867631e-14,6.412322556e-14,3.756222065e-14,2.004638347e-13,2.258118147e-14,3.546237698e-13,2.397767785e-14,1.566688494e-13,2.943609185e-14,1.183280112e-12,1.387113818e-14,1.04474935e-13,4.408444718e-14,7.917850913e-14,5.178276864e-14,8.22592344e-14,6.446142602e-15,1.933834946e-13
0.15625,1.43486475e-13,1.458925854e-13,2.309055216e-13,1.51606456e-13,8.363941915e-14,7.393143248e-14,2.312665719e-13,1.234996426e-13,1.044644813e-13,3.818588388e-14,5.158137171e-14,7.557059033e-14,1.588760088e-13,1.432056895e-13,1.161082605e-13,8.293718714e-14,4.067625023e-14,2.480732826e-13,2.765341077e-14,3.471118887e-13,2.673000474e-14,1.321250038e-13,2.348078293e-14,1.164930086e-12,1.828652768e-14,7.712932017e-14,2.315907081e-14,8.768363897e-14,4.897232298e-14,7.844515999e-14,7.859261147e-15,1.81194159e-13
0.1640625,1.296061069e-13,1.547424614e-13,1.859512724e-13,1.627976407e-13,9.353464216e-14,9.167514429e-14,2.612593399e-13,1.088856229e-13,1.008263762e-13,4.370260241e-14,5.193008837e-14,1.10810102e-13,1.690202126e-13,1.868673545e-13,1.392271833e-13,9.768154846e-14,4.420003554e-14,2.761381368e-13,2.985909433e-14,3.251747029e-13,3.323160474e-14,1.042738351e-13,2.105315812e-14,1.114896998e-12,2.331779064e-14,5.931848852e-14,1.085652521e-14,9.501946274e-14,4.256730316e-14,7.043598936e-14,1.217007689e-14,1.664671938e-13
0.171875,1.066603403e-13,1.527692553e-13,1.560873977e-13,1.579859572e-13,1.092743444e-13,1.067880234e-13,2.922005189e-13,9.273348629e-14,9.435662807e-14,5.012958613e-14,5.704930478e-14,1.509747285e-13,1.662096558e-13,2.250514707e-13,1.53540355e-13,1.006040001e-13,4.255688001e-14,2.791655603e-13,2.95257259e-14,2.912888681e-13,4.251376067e-14,7.742900422e-14,2.180553789e-14,1.038021185e-12,2.815803911e-14,4.84989571e-14,5.78322203e-15,1.014933927e-13,3.500155356e-14,6.00212308e-14,1.870164526e-14,1.4714848e-13
0.1796875,7.958070218e-14,1.387049845e-13,1.377026729e-13,1.389332345e-13,1.298062958e-13,1.132410533e-13,3.221683364e-13,7.863237044e-14,8.552947798e-14,5.683311983e-14,7.059037999e-14,1.868472738e-13,1.497408306e-13,2.466776417e-13,1.559341072e-13,9.321004755e-14,3.818220519e-14,2.599346848e-13,2.754017796e-14,2.493400217e-13,5.455560817e-14,5.606989983e-14,2.487083796e-14,9.374483905e-13,3.169955213e-14,4.344525829e-14,7.372523845e-15,1.0387508e-13,2.785864645e-14,4.890316052e-14,2.810112938e-14,1.263553353e-13
0.1875,5.402752325e-14,1.156734712e-13,1.27933461e-13,1.159368201e-13,1.529036798e-13,1.101657332e-13,3.512072576e-13,6.929878153e-14,7.82410061e-14,6.195624905e-14,8.796206264e-14,2.137720801e-13,1.258955193e-13,2.487279299e-13,1.46414578e-13,8.326141986e-14,3.679090456e-14,2.264842265e-13,2.531648467e-14,2.05199747e-13,6.745965511e-14,4.212456506e-14,2.832139915e-14,8.174132531e-13,3.254749832e-14,4.327406756e-14,1.397084559e-14,1.0589225e-13,2.252601105e-14,3.83426168e-14,4.143351225e-14,1.076642645e-13
0.1953125,3.388999873e-14,8.686856808e-14,1.238691057e-13,9.65213222e-14,1.775127734e-13,9.834050671e-14,3.706771615e-13,6.47171709e-14,7.200596187e-14,6.265382275e-14,1.062641532e-13,2.239068556e-13,9.648451147e-14,2.264789655e-13,1.239816861e-13,7.162649052e-14,3.867663459e-14,1.832015784e-13,2.543052342e-14,1.653832593e-13,7.879676975e-14,3.64992048e-14,3.063534908e-14,6.886556527e-13,2.980380415e-14,4.712244976e-14,2.449486407e-14,1.083251166e-13,1.974443005e-14,3.005795661e-14,5.940576652e-14,9.137287026e-14
