"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,1.663654296e-14,3.108334587e-15,2.47207269e-14,1.575890786e-14,1.053420975e-14,3.96652104e-15,4.329538077e-14,1.988605599e-14,2.241738941e-14,7.887340918e-15,1.698251719e-14,1.824215785e-14,5.05231589e-16,4.581771866e-15,6.20648081e-15,8.650057197e-15,2.517167311e-14,3.556874879e-15,1.515063416e-14,2.939954114e-14,3.943490278e-14,3.37633596e-15,2.787200921e-14,1.31500956e-13,4.89620098e-14,1.326079368e-14,1.408580427e-14,1.942825915e-14,8.345271487e-15,9.599476609e-15,8.012849292e-14,2.039813062e-15
0.015625,1.99779391e-14,3.825395092e-15,2.459382826e-14,1.462860398e-14,1.047912303e-14,4.943157874e-15,5.259221525e-14,2.453466374e-14,2.549119495e-14,1.127624102e-14,1.643274233e-14,2.436553699e-14,9.211422434e-16,6.378325142e-15,5.16819275e-15,1.275461559e-14,3.568174993e-14,3.766578754e-15,1.688043134e-14,3.024804353e-14,4.377157796e-14,4.06550398e-15,3.607748748e-14,1.56635728e-13,6.38959283e-14,1.346653003e-14,1.609463392e-14,2.659635432e-14,9.914885862e-15,1.142446927e-14,1.076825729e-13,2.149388321e-15
0.0234375,2.212149077e-14,4.650767781e-15,2.254801287e-14,1.266906822e-14,9.640288283e-15,5.776029628e-15,5.938005921e-14,2.822974875e-14,2.708545492e-14,1.544608939e-14,1.647139928e-14,3.026337761e-14,1.576919451e-15,7.808650902e-15,3.776088333e-15,1.73851989e-14,4.670447892e-14,3.608534724e-15,1.772036481e-14,2.946842645e-14,4.549524236e-14,4.648122835e-15,4.443870821e-14,1.763236367e-13,7.922587871e-14,1.318480252e-14,1.78706935e-14,3.409934384e-14,1.131160426e-14,1.27459917e-14,1.429115391e-13,2.392443013e-15
0.03125,2.294674484e-14,5.867227344e-15,1.914594286e-14,1.093683427e-14,8.330198943e-15,6.411486018e-15,6.274265227e-14,3.04424861e-14,2.71046552e-14,2.006492996e-14,1.827553341e-14,3.535838568e-14,2.684327552e-15,9.132492187e-15,2.470260446e-15,2.216318829e-14,5.690763275e-14,3.696217903e-15,1.821816996e-14,2.753381211e-14,4.499042729e-14,5.154255119e-15,5.185710899e-14,1.895488872e-13,9.283272969e-14,1.249565859e-14,1.924326409e-14,4.154872792e-14,1.248643432e-14,1.387283813e-14,1.854245807e-13,2.875007776e-15
0.0390625,2.237461478e-14,7.234782949e-15,1.524039101e-14,1.014092268e-14,6.925285073e-15,6.761396633e-15,6.209491833e-14,3.043239925e-14,2.535053897e-14,2.451758848e-14,2.274191538e-14,3.864727168e-14,4.263858636e-15,1.017222767e-14,1.681914287e-15,2.582473496e-14,6.459671765e-14,4.263872779e-15,1.87519649e-14,2.492074889e-14,4.160911455e-14,5.547949041e-15,5.677712007e-14,1.941559462e-13,1.017531848e-13,1.167037304e-14,1.979368912e-14,4.767348297e-14,1.31548326e-14,1.488659925e-14,2.345504168e-13,3.629485714e-15
0.046875,2.083840717e-14,8.619746132e-15,1.215980133e-14,1.05986202e-14,5.560305262e-15,6.764605591e-15,5.843196283e-14,2.835315582e-14,2.225510596e-14,2.844424004e-14,2.962233369e-14,4.011971084e-14,6.344603286e-15,1.052257815e-14,1.517973171e-15,2.736235845e-14,6.799003538e-14,5.532787337e-15,2.009762251e-14,2.167565756e-14,3.569491024e-14,6.140986657e-15,5.88575903e-14,1.866924977e-13,1.0491472e-13,1.081823586e-14,1.94137839e-14,5.08600119e-14,1.311475604e-14,1.586998433e-14,2.846043676e-13,4.628856377e-15
0.0546875,1.869276657e-14,9.434824233e-15,1.033913458e-14,1.236160595e-14,4.608784031e-15,6.586324428e-15,5.185332961e-14,2.469680344e-14,1.852095646e-14,3.136404857e-14,3.809043298e-14,3.994152503e-14,8.819025119e-15,1.056759231e-14,2.01705504e-15,2.695628664e-14,6.785483498e-14,7.592984335e-15,2.28139895e-14,1.842771834e-14,2.894941842e-14,7.08887454e-15,5.757389046e-14,1.709556997e-13,1.024382117e-13,9.821969123e-15,1.798295636e-14,5.155807897e-14,1.202999742e-14,1.685543181e-14,3.335459765e-13,5.646140762e-15
0.0625,1.626259674e-14,9.297116017e-15,1.008297316e-14,1.482370943e-14,4.29068242e-15,6.317751559e-15,4.575225425e-14,2.047210117e-14,1.48933867e-14,3.304771642e-14,4.604932349e-14,3.892146606e-14,1.145628204e-14,1.051902319e-14,3.034896759e-15,2.429871872e-14,6.334883544e-14,1.034201877e-14,2.703904312e-14,1.621353573e-14,2.233636187e-14,8.472241154e-15,5.328526089e-14,1.501141276e-13,9.418381672e-14,8.935210673e-15,1.613646993e-14,4.996882828e-14,1.0357083e-14,1.747074468e-14,3.773838678e-13,6.230521986e-15
0.0703125,1.381962157e-14,8.756447339e-15,1.201408135e-14,1.805529901e-14,4.486448797e-15,6.014536134e-15,4.339830194e-14,1.616816619e-14,1.165026835e-14,3.390283237e-14,5.217459587e-14,3.810242764e-14,1.408139678e-14,1.048007542e-14,4.403133894e-15,2.069318519e-14,5.648179788e-14,1.406420419e-14,3.297562162e-14,1.551599448e-14,1.634473597e-14,1.029402951e-14,4.701168955e-14,1.26560383e-13,8.208191482e-14,8.545106186e-15,1.504689489e-14,4.567833684e-14,8.892846538e-15,1.760790684e-14,4.08574137e-13,6.411324759e-15
0.078125,1.141784271e-14,7.968070704e-15,1.540419183e-14,2.179720879e-14,5.158025417e-15,5.844107673e-15,4.626197874e-14,1.270347289e-14,9.237166102e-15,3.454876759e-14,5.63547695e-14,3.878960316e-14,1.630745188e-14,1.094185846e-14,5.951566479e-15,1.69731296e-14,4.871922335e-14,1.826612394e-14,3.955060666e-14,1.623946377e-14,1.144256888e-14,1.232827126e-14,4.039875894e-14,1.026354209e-13,6.840102996e-14,8.861527885e-15,1.541759453e-14,3.918899611e-14,7.912660297e-15,1.695569117e-14,4.208384289e-13,6.497373265e-15
