"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,4.953589707e-14,2.949081486e-13,1.131963504e-13,2.785756554e-13,1.021622571e-13,5.702130392e-14,6.262673732e-14,1.118491209e-14,2.899633133e-14,3.179491911e-14,4.965150474e-14,6.848284102e-14,8.780106e-14,1.306280278e-13,1.950314277e-13,1.716018062e-13,2.254577986e-13,3.739446284e-13,2.288469843e-13,1.797535027e-13,5.68046816e-14,4.166925014e-14,2.674783467e-14,4.520278287e-14,7.184581844e-14,9.448907976e-14,2.894835659e-13,1.494922596e-13,7.586229422e-13,5.579457674e-13,1.974292914e-13,4.030108135e-14
0.015625,5.58112531e-14,3.00898469e-13,1.183278968e-13,2.787505955e-13,1.0428653e-13,6.011292842e-14,6.438501938e-14,1.150060083e-14,3.124158145e-14,3.464623149e-14,5.120356891e-14,6.842993425e-14,9.026628613e-14,1.397397011e-13,2.09076475e-13,1.87204614e-13,2.435243173e-13,3.99174065e-13,2.465219311e-13,1.883323687e-13,5.961022825e-14,4.474265334e-14,2.829144726e-14,4.95517727e-14,7.810089873e-14,9.751281568e-14,2.982169534e-13,1.710324126e-13,7.782882923e-13,5.981632218e-13,2.031076735e-13,4.14286095e-14
0.0234375,6.245430289e-14,3.059099367e-13,1.234381094e-13,2.770888065e-13,1.057775468e-13,6.330428568e-14,6.592200763e-14,1.170802267e-14,3.379412324e-14,3.772422703e-14,5.262802354e-14,6.799247723e-14,9.272183606e-14,1.49017683e-13,2.231404524e-13,2.033382934e-13,2.619459095e-13,4.240645951e-13,2.644003841e-13,1.963382421e-13,6.232638913e-14,4.809025101e-14,3.000507582e-14,5.417676458e-14,8.465804507e-14,1.000188147e-13,3.060471682e-13,1.946419893e-13,7.946829881e-13,6.387603347e-13,2.075989048e-13,4.239290344e-14
0.03125,6.936350252e-14,3.101723495e-13,1.285993541e-13,2.735783874e-13,1.064327343e-13,6.652786859e-14,6.732685806e-14,1.184676893e-14,3.666347499e-14,4.095223947e-14,5.406052551e-14,6.732905113e-14,9.5182985e-14,1.584500283e-13,2.36941569e-13,2.195919084e-13,2.802464592e-13,4.479853723e-13,2.821921954e-13,2.035338213e-13,6.48840172e-14,5.171643724e-14,3.187182194e-14,5.905668267e-14,9.132850043e-14,1.018147402e-13,3.126886053e-13,2.19891041e-13,8.076495269e-13,6.793616232e-13,2.106504299e-13,4.308355061e-14
0.0390625,7.671591524e-14,3.138727132e-13,1.338087367e-13,2.686564073e-13,1.062607463e-13,6.971941345e-14,6.870499361e-14,1.193953767e-14,3.992977138e-14,4.435225549e-14,5.554516786e-14,6.65687937e-14,9.78534275e-14,1.682666245e-13,2.505953088e-13,2.362375613e-13,2.987728663e-13,4.710010283e-13,3.000705926e-13,2.100147577e-13,6.729039312e-14,5.570331342e-14,3.380369796e-14,6.430767145e-14,9.833355786e-14,1.029211451e-13,3.184966091e-13,2.472842787e-13,8.18037187e-13,7.20212626e-13,2.123135825e-13,4.353154559e-14
0.046875,8.45627155e-14,3.172523586e-13,1.391789008e-13,2.624431308e-13,1.052688496e-13,7.292528814e-14,7.027699524e-14,1.197288133e-14,4.364243724e-14,4.803360136e-14,5.715521642e-14,6.56562498e-14,1.007671242e-13,1.784199502e-13,2.64077607e-13,2.533487158e-13,3.174762247e-13,4.92724198e-13,3.177592425e-13,2.158651495e-13,6.954537133e-14,6.002572035e-14,3.580251642e-14,7.004686191e-14,1.057158094e-13,1.033615761e-13,3.235037567e-13,2.770666713e-13,8.255274317e-13,7.605434641e-13,2.124688787e-13,4.376065186e-14
0.0546875,9.261585921e-14,3.20158993e-13,1.447119897e-13,2.547820707e-13,1.034683953e-13,7.612332943e-14,7.222016764e-14,1.191537705e-14,4.76710251e-14,5.190437006e-14,5.891411702e-14,6.446494425e-14,1.037015751e-13,1.884924817e-13,2.769247432e-13,2.700933301e-13,3.354321511e-13,5.120830268e-13,3.344655943e-13,2.206308338e-13,7.149648518e-14,6.449839708e-14,3.790821536e-14,7.623651172e-14,1.130377723e-13,1.031358012e-13,3.269034333e-13,3.081324002e-13,8.286425891e-13,7.984045202e-13,2.109620125e-13,4.379931909e-14
0.0625,1.006560192e-13,3.225912947e-13,1.508742331e-13,2.460766419e-13,1.010387351e-13,7.952638623e-14,7.45038179e-14,1.180283937e-14,5.199420043e-14,5.578633234e-14,6.088620549e-14,6.312796466e-14,1.06766229e-13,1.984370136e-13,2.888799246e-13,2.85923018e-13,3.522622082e-13,5.290310394e-13,3.502465126e-13,2.247038293e-13,7.323069512e-14,6.918312028e-14,4.016337045e-14,8.282492783e-14,1.202502783e-13,1.022548503e-13,3.289675814e-13,3.399040282e-13,8.29012286e-13,8.339303529e-13,2.080272813e-13,4.378930819e-14
0.0703125,1.087334106e-13,3.250934097e-13,1.577809354e-13,2.370556996e-13,9.813355417e-14,8.299907573e-14,7.708962844e-14,1.167142558e-14,5.66981672e-14,5.972338959e-14,6.318564948e-14,6.183008893e-14,1.102901742e-13,2.087863951e-13,3.006810314e-13,3.014852593e-13,3.686224324e-13,5.443847413e-13,3.655241218e-13,2.285402993e-13,7.487610907e-14,7.418842217e-14,4.259475423e-14,8.981817938e-14,1.275464938e-13,1.008679777e-13,3.306648091e-13,3.72758725e-13,8.288804799e-13,8.682382993e-13,2.041327122e-13,4.375144341e-14
0.078125,1.168093881e-13,3.276305498e-13,1.651793665e-13,2.27748851e-13,9.492206248e-14,8.635603939e-14,7.988429788e-14,1.149071556e-14,6.17419043e-14,6.375723854e-14,6.558907384e-14,6.048105874e-14,1.143366748e-13,2.196010875e-13,3.128209297e-13,3.172225284e-13,3.849246186e-13,5.584384314e-13,3.80206487e-13,2.321607925e-13,7.638819776e-14,7.945024581e-14,4.52212303e-14,9.711884062e-14,1.349437583e-13,9.933530101e-14,3.322048907e-13,4.066174412e-13,8.279947304e-13,9.00801285e-13,1.996522368e-13,4.379731247e-14
