"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,1.045860677e-13,4.177232948e-13,3.935571254e-13,2.186746637e-13,4.738969898e-15,9.029021178e-14,2.85723542e-14,4.75653067e-14,8.907916532e-14,7.265221034e-14,2.939361219e-13,1.347053633e-13,8.422874586e-14,1.328105161e-13,6.831279658e-14,4.033557592e-14,4.147400462e-14,1.863387485e-14,3.609787843e-14,1.664409485e-13,2.589661534e-14,3.65549408e-14,3.491960916e-14,5.611961145e-14,1.146353739e-14,1.482015737e-14,6.083663723e-14,3.334314493e-14,3.264440583e-13,1.266272701e-13,2.756634827e-14,3.458033454e-14
0.015625,1.173435348e-13,4.632634653e-13,4.422347535e-13,2.28834942e-13,5.528757651e-15,1.064233525e-13,2.778044177e-14,5.31429863e-14,9.921869509e-14,8.537509514e-14,3.367036612e-13,1.470026354e-13,9.02472767e-14,1.497345542e-13,7.757891535e-14,4.926912351e-14,4.746589217e-14,2.079220199e-14,3.846751813e-14,1.914623359e-13,2.753350263e-14,3.774023572e-14,3.654285479e-14,5.88469754e-14,1.343126249e-14,1.673073111e-14,5.734849605e-14,3.960694353e-14,3.162319196e-13,1.32069613e-13,3.038916276e-14,3.855853705e-14
0.0234375,1.267742332e-13,5.014217076e-13,4.797880139e-13,2.350270675e-13,6.467066615e-15,1.229238123e-13,2.71883667e-14,5.711536966e-14,1.079952714e-13,9.624930887e-14,3.718915614e-13,1.561594525e-13,9.558640769e-14,1.640279348e-13,8.543733342e-14,5.89971613e-14,5.325154837e-14,2.307545426e-14,3.931822206e-14,2.141903854e-13,2.826110901e-14,3.831990512e-14,3.697826551e-14,6.020051197e-14,1.541079875e-14,1.860302853e-14,5.250829878e-14,4.660057637e-14,2.947839381e-13,1.346020102e-13,3.24895429e-14,4.26174445e-14
0.03125,1.319797616e-13,5.303452914e-13,5.027023939e-13,2.376373105e-13,7.580890326e-15,1.383038481e-13,2.702108393e-14,5.919978148e-14,1.146383855e-13,1.041987813e-13,3.966174526e-13,1.613396697e-13,1.00360941e-13,1.747109611e-13,9.1534759e-14,6.96180487e-14,5.877295747e-14,2.572295865e-14,3.886949636e-14,2.327507253e-13,2.823882522e-14,3.850599505e-14,3.617930713e-14,6.026591999e-14,1.758632816e-14,2.034621019e-14,4.760795587e-14,5.467823603e-14,2.668081476e-13,1.345818737e-13,3.374008665e-14,4.675335647e-14
0.0390625,1.336537038e-13,5.491528372e-13,5.109427008e-13,2.365940315e-13,8.867301379e-15,1.522832334e-13,2.727349654e-14,5.945852362e-14,1.193508077e-13,1.088294126e-13,4.086180703e-13,1.629183722e-13,1.048943583e-13,1.817659599e-13,9.586138803e-14,8.100149912e-14,6.368954591e-14,2.875777176e-14,3.740156639e-14,2.451342361e-13,2.74096413e-14,3.877112322e-14,3.442888456e-14,5.972073465e-14,1.960471377e-14,2.179843053e-14,4.317402809e-14,6.403019958e-14,2.352933128e-13,1.331560521e-13,3.395447191e-14,5.101973503e-14
0.046875,1.321492021e-13,5.582303271e-13,5.05492773e-13,2.323945582e-13,1.028767046e-14,1.644425544e-13,2.787740834e-14,5.829144209e-14,1.222948062e-13,1.098637431e-13,4.062478309e-13,1.611125754e-13,1.093522509e-13,1.848476287e-13,9.851309005e-14,9.303007622e-14,6.792083275e-14,3.224943548e-14,3.531370302e-14,2.503170784e-13,2.609679943e-14,3.938550499e-14,3.211341806e-14,5.951819066e-14,2.155107564e-14,2.295806471e-14,4.011833236e-14,7.478280841e-14,2.051647336e-13,1.314742705e-13,3.315101553e-14,5.565361052e-14
0.0546875,1.281766109e-13,5.601554975e-13,4.883880941e-13,2.268765008e-13,1.191107489e-14,1.749333757e-13,2.910479567e-14,5.600419087e-14,1.238854196e-13,1.077797419e-13,3.924859471e-13,1.56388029e-13,1.137633356e-13,1.847105052e-13,1.006881576e-13,1.056368043e-13,7.179376679e-14,3.648645956e-14,3.325717038e-14,2.477057924e-13,2.44335642e-14,4.071976985e-14,2.961705963e-14,5.99957351e-14,2.346392114e-14,2.386799556e-14,3.871094025e-14,8.725752186e-14,1.79433096e-13,1.321796955e-13,3.20455088e-14,6.064333329e-14
0.0625,1.235701475e-13,5.588545315e-13,4.644060673e-13,2.213492309e-13,1.379627235e-14,1.848446345e-13,3.104191519e-14,5.301058882e-14,1.25002534e-13,1.037208986e-13,3.717431381e-13,1.498537452e-13,1.183519239e-13,1.832268585e-13,1.04036762e-13,1.188881151e-13,7.490702872e-14,4.143404466e-14,3.178021601e-14,2.373067909e-13,2.261491765e-14,4.31145763e-14,2.742393793e-14,6.179353961e-14,2.535294494e-14,2.440172458e-14,3.923937982e-14,1.018397641e-13,1.606302667e-13,1.368998352e-13,3.111586852e-14,6.595109856e-14
0.0703125,1.192947587e-13,5.571962668e-13,4.376441112e-13,2.175833244e-13,1.595826678e-14,1.9524981e-13,3.380824894e-14,4.972087814e-14,1.263814825e-13,9.877967552e-14,3.470190324e-13,1.428281065e-13,1.230296424e-13,1.812783991e-13,1.092978645e-13,1.321821152e-13,7.721102399e-14,4.67355101e-14,3.115877164e-14,2.202300701e-13,2.08712279e-14,4.657911318e-14,2.557813058e-14,6.509923701e-14,2.701419528e-14,2.455606815e-14,4.174721034e-14,1.18558174e-13,1.492316497e-13,1.456275801e-13,3.042379588e-14,7.156413206e-14
0.078125,1.15950393e-13,5.584636277e-13,4.121061371e-13,2.162547435e-13,1.843736471e-14,2.055546637e-13,3.690532981e-14,4.690394037e-14,1.286102712e-13,9.34323872e-14,3.198523147e-13,1.365108726e-13,1.276888502e-13,1.792481626e-13,1.171624339e-13,1.452689739e-13,7.939340832e-14,5.21657951e-14,3.181405418e-14,1.985843715e-13,1.949942032e-14,5.109658067e-14,2.42317404e-14,7.006183805e-14,2.84338335e-14,2.450715598e-14,4.574478786e-14,1.371517802e-13,1.450810259e-13,1.58309757e-13,3.011553424e-14,7.758155876e-14
